open,close,Trading_turnover,high,low
38.85,38.78,264.32,39.07,38.6
38.82,38.75,263.81,39.04,38.57
38.63,38.57,261.06,38.85,38.39
38.4,38.34,257.56,38.62,38.15
38.2,38.15,254.59,38.43,37.96
38.06,38.0,252.38,38.28,37.81
37.94,37.89,250.62,38.17,37.7
37.83,37.78,248.94,38.05,37.58
37.71,37.66,247.13,37.93,37.47
37.59,37.54,245.29,37.81,37.34
37.48,37.42,243.6,37.7,37.23
37.38,37.33,242.17,37.6,37.14
37.3,37.24,240.87,37.52,37.05
37.21,37.15,239.5,37.42,36.96
37.12,37.07,238.21,37.34,36.88
37.04,36.99,237.05,37.26,36.8
36.97,36.92,235.98,37.19,36.73
36.91,36.86,234.97,37.12,36.67
36.84,36.79,234.0,37.06,36.6
36.78,36.73,233.09,37.0,36.54
36.73,36.68,232.23,36.94,36.49
36.67,36.62,231.44,36.89,36.44
36.62,36.57,230.68,36.84,36.39
36.58,36.53,229.97,36.79,36.34
36.53,36.48,229.29,36.74,36.29
36.49,36.44,228.65,36.7,36.25
36.45,36.4,228.05,36.66,36.21
36.41,36.36,227.48,36.62,36.18
36.38,36.33,226.94,36.59,36.14
36.34,36.29,226.43,36.55,36.11
