open,close,Trading_turnover,high,low
38.51,38.45,259.22,38.73,38.27
38.56,38.5,259.92,38.78,38.31
38.43,38.37,258.03,38.65,38.19
38.21,38.15,254.69,38.43,37.96
38.01,37.95,251.63,38.23,37.76
37.86,37.81,249.43,38.09,37.62
37.75,37.7,247.8,37.98,37.51
37.65,37.6,246.31,37.88,37.41
37.55,37.49,244.65,37.77,37.3
37.43,37.38,242.93,37.65,37.19
37.33,37.28,241.34,37.55,37.09
37.24,37.19,240.1,37.46,37.0
37.17,37.12,238.95,37.39,36.93
37.09,37.04,237.71,37.31,36.85
37.01,36.96,236.52,37.23,36.77
36.94,36.89,235.45,37.15,36.7
36.87,36.82,234.49,37.09,36.64
36.81,36.76,233.57,37.03,36.58
36.76,36.71,232.69,36.97,36.52
36.7,36.65,231.84,36.91,36.46
36.65,36.6,231.06,36.86,36.41
36.6,36.55,230.33,36.81,36.36
36.55,36.51,229.64,36.77,36.32
36.51,36.46,228.98,36.72,36.27
36.47,36.42,228.36,36.68,36.23
36.43,36.38,227.77,36.64,36.19
36.39,36.35,227.22,36.61,36.16
36.36,36.31,226.69,36.57,36.12
36.33,36.28,226.2,36.54,36.09
36.3,36.25,225.73,36.51,36.06
