open,close,Trading_turnover,high,low
39.36,39.29,286.51,39.58,39.11
39.32,39.25,285.8,39.54,39.07
39.11,39.05,282.56,39.34,38.86
38.85,38.79,278.35,39.07,38.6
38.61,38.56,274.61,38.84,38.37
38.43,38.38,271.77,38.66,38.19
38.29,38.24,269.52,38.52,38.05
38.16,38.1,267.32,38.38,37.91
38.02,37.96,265.07,38.24,37.77
37.87,37.82,262.82,38.1,37.63
37.74,37.69,260.67,37.96,37.5
37.63,37.58,258.88,37.85,37.39
37.53,37.48,257.26,37.75,37.29
37.42,37.37,255.58,37.64,37.18
37.32,37.27,254.0,37.54,37.08
37.23,37.18,252.56,37.45,36.99
37.15,37.1,251.25,37.37,36.91
37.07,37.02,250.01,37.29,36.83
37.0,36.95,248.83,37.22,36.76
36.93,36.88,247.72,37.15,36.69
36.86,36.82,246.67,37.08,36.63
36.8,36.75,245.7,37.02,36.57
36.75,36.7,244.79,36.96,36.51
36.69,36.64,243.92,36.91,36.46
36.64,36.59,243.1,36.86,36.4
36.59,36.54,242.33,36.81,36.36
36.55,36.5,241.6,36.76,36.31
36.5,36.46,240.91,36.72,36.27
36.46,36.41,240.26,36.68,36.23
36.43,36.38,239.65,36.64,36.19
