open,close,Trading_turnover,high,low
17.12,17.07,393.91,17.29,16.9
17.19,17.14,400.44,17.36,16.96
17.25,17.21,408.38,17.43,17.03
17.3,17.25,415.35,17.47,17.07
17.35,17.3,424.98,17.52,17.12
17.39,17.34,434.82,17.56,17.16
17.43,17.38,444.38,17.61,17.2
17.47,17.42,455.3,17.65,17.24
17.51,17.46,471.35,17.69,17.27
17.54,17.5,492.86,17.73,17.31
17.58,17.54,517.44,17.77,17.34
17.61,17.57,541.63,17.81,17.37
17.63,17.6,565.78,17.84,17.39
17.66,17.62,593.67,17.86,17.41
17.67,17.64,626.35,17.89,17.42
17.67,17.65,664.36,17.9,17.43
17.67,17.65,707.89,17.91,17.42
17.66,17.65,756.43,17.91,17.41
17.67,17.66,809.51,17.93,17.41
17.71,17.71,864.74,17.99,17.45
17.76,17.77,919.83,18.06,17.5
17.81,17.83,974.78,18.14,17.56
17.88,17.91,1029.18,18.22,17.62
17.96,17.99,1081.7,18.32,17.69
18.04,18.08,1129.56,18.42,17.77
18.12,18.16,1169.89,18.51,17.85
18.19,18.24,1201.33,18.6,17.93
18.26,18.31,1224.33,18.68,17.99
18.32,18.37,1240.35,18.74,18.05
18.36,18.41,1251.0,18.78,18.09
