open,close,Trading_turnover,high,low
16.53,16.47,339.67,16.69,16.31
16.57,16.52,346.02,16.73,16.36
16.65,16.6,355.75,16.82,16.44
16.7,16.65,361.87,16.86,16.48
16.74,16.69,367.83,16.91,16.53
16.79,16.74,372.3,16.96,16.57
16.84,16.79,376.45,17.0,16.62
16.89,16.84,381.34,17.06,16.67
16.95,16.9,387.89,17.12,16.73
17.01,16.96,395.98,17.18,16.79
17.07,17.02,404.4,17.24,16.85
17.13,17.08,412.24,17.3,16.9
17.19,17.14,419.68,17.36,16.96
17.24,17.19,427.44,17.42,17.01
17.29,17.25,435.8,17.47,17.07
17.34,17.3,444.93,17.52,17.11
17.39,17.35,455.15,17.57,17.16
17.44,17.4,466.77,17.62,17.21
17.48,17.44,480.07,17.67,17.25
17.52,17.48,495.32,17.71,17.29
17.56,17.52,512.88,17.75,17.32
17.59,17.56,533.21,17.79,17.36
17.62,17.59,556.91,17.82,17.38
17.65,17.61,584.62,17.85,17.4
17.66,17.63,616.97,17.88,17.42
17.67,17.65,654.38,17.89,17.42
17.67,17.65,696.86,17.9,17.42
17.66,17.65,743.83,17.91,17.41
17.66,17.66,794.7,17.92,17.41
17.69,17.69,848.27,17.97,17.44
