open,close,Trading_turnover,high,low
16.85,16.8,369.94,17.02,16.64
16.93,16.88,376.85,17.1,16.71
17.01,16.96,383.93,17.18,16.79
17.06,17.01,388.55,17.23,16.84
17.11,17.06,394.94,17.28,16.89
17.16,17.11,401.04,17.33,16.94
17.21,17.16,407.49,17.38,16.98
17.26,17.21,415.76,17.43,17.03
17.31,17.26,426.88,17.48,17.08
17.36,17.31,440.65,17.53,17.13
17.4,17.36,455.64,17.59,17.17
17.45,17.41,469.53,17.63,17.22
17.49,17.45,482.77,17.68,17.26
17.53,17.49,497.59,17.72,17.3
17.57,17.53,514.81,17.76,17.33
17.6,17.57,535.05,17.8,17.36
17.63,17.6,559.13,17.83,17.39
17.65,17.62,587.86,17.86,17.41
17.66,17.64,621.83,17.88,17.42
17.67,17.65,661.04,17.9,17.42
17.67,17.65,704.98,17.9,17.42
17.66,17.65,752.67,17.9,17.41
17.67,17.66,803.78,17.92,17.41
17.7,17.7,857.12,17.98,17.44
17.75,17.76,911.27,18.05,17.49
17.81,17.82,966.18,18.12,17.55
17.87,17.9,1021.21,18.21,17.61
17.94,17.98,1074.61,18.3,17.68
18.02,18.06,1123.53,18.4,17.76
18.11,18.15,1165.04,18.5,17.84
