open,close,Trading_turnover,high,low
17.0,16.95,388.55,17.17,16.78
17.06,17.01,391.08,17.23,16.84
17.14,17.09,397.48,17.31,16.92
17.18,17.13,401.58,17.35,16.96
17.23,17.18,407.43,17.4,17.0
17.27,17.22,413.63,17.44,17.04
17.31,17.27,421.7,17.49,17.09
17.36,17.31,432.22,17.53,17.13
17.4,17.36,445.77,17.58,17.17
17.45,17.41,462.54,17.63,17.22
17.49,17.45,481.3,17.68,17.26
17.53,17.49,498.98,17.72,17.3
17.57,17.53,515.89,17.76,17.33
17.6,17.57,535.16,17.8,17.36
17.63,17.6,558.02,17.83,17.39
17.65,17.62,585.41,17.86,17.41
17.67,17.64,618.25,17.88,17.42
17.67,17.65,657.01,17.9,17.43
17.67,17.65,701.34,17.9,17.42
17.66,17.65,749.96,17.9,17.41
17.67,17.66,801.89,17.92,17.41
17.7,17.7,855.5,17.97,17.44
17.75,17.76,909.39,18.04,17.49
17.8,17.82,963.88,18.12,17.54
17.87,17.89,1018.71,18.21,17.61
17.94,17.97,1072.19,18.3,17.68
18.02,18.06,1121.41,18.4,17.76
18.1,18.15,1163.36,18.5,17.84
18.18,18.23,1196.41,18.59,17.91
18.25,18.3,1220.8,18.67,17.98
