open,close,Trading_turnover,high,low
17.47,17.44,569.42,17.68,17.23
17.56,17.52,551.56,17.76,17.32
17.63,17.59,544.48,17.83,17.39
17.65,17.62,536.74,17.85,17.41
17.68,17.64,533.39,17.88,17.44
17.69,17.66,537.78,17.89,17.45
17.7,17.67,559.28,17.9,17.46
17.7,17.67,605.01,17.91,17.45
17.68,17.66,676.38,17.9,17.43
17.65,17.63,755.61,17.89,17.39
17.66,17.66,824.61,17.93,17.41
17.71,17.71,872.33,17.99,17.45
17.75,17.76,910.41,18.05,17.5
17.81,17.82,955.37,18.12,17.55
17.86,17.89,1006.48,18.2,17.6
17.93,17.96,1061.2,18.29,17.67
18.01,18.05,1113.73,18.38,17.75
18.09,18.13,1158.88,18.48,17.82
18.17,18.22,1193.94,18.58,17.9
18.24,18.29,1219.3,18.66,17.97
18.3,18.36,1236.82,18.72,18.03
18.35,18.4,1248.51,18.77,18.08
18.38,18.43,1256.02,18.8,18.11
18.39,18.45,1260.41,18.82,18.12
18.4,18.46,1262.42,18.83,18.13
18.39,18.45,1262.6,18.82,18.12
18.38,18.44,1261.48,18.81,18.11
18.37,18.42,1259.52,18.79,18.09
18.35,18.41,1257.1,18.78,18.08
18.33,18.39,1254.58,18.76,18.06
