open,close,Trading_turnover,high,low
58.84,58.8,653.09,59.24,58.3
58.91,58.87,654.46,59.31,58.37
58.93,58.89,654.74,59.32,58.38
58.89,58.85,653.94,59.29,58.34
58.8,58.76,652.21,59.2,58.26
58.7,58.66,650.06,59.1,58.16
58.58,58.54,647.59,58.98,58.04
58.44,58.4,644.81,58.84,57.9
58.32,58.28,642.34,58.71,57.78
58.26,58.22,641.09,58.65,57.72
58.22,58.18,640.28,58.61,57.68
58.13,58.09,638.64,58.53,57.6
58.02,57.98,636.43,58.42,57.49
57.9,57.86,633.88,58.29,57.36
57.76,57.73,631.24,58.16,57.23
57.64,57.6,628.69,58.03,57.11
57.49,57.45,625.7,57.88,56.96
57.3,57.26,621.93,57.69,56.78
57.09,57.05,617.74,57.49,56.57
56.86,56.82,613.07,57.25,56.34
56.61,56.57,608.02,57.0,56.09
56.35,56.31,602.83,56.74,55.84
56.07,56.04,597.25,56.47,55.57
55.79,55.75,591.45,56.18,55.29
55.5,55.47,585.69,55.9,55.01
55.23,55.19,580.08,55.62,54.74
54.98,54.95,575.06,55.37,54.49
54.77,54.74,570.71,55.16,54.28
54.58,54.55,566.85,54.97,54.1
54.43,54.39,563.64,54.82,53.94
