open,close,Trading_turnover,high,low
58.1,58.06,638.12,58.49,57.56
58.12,58.08,638.66,58.52,57.59
58.12,58.08,638.55,58.52,57.59
58.09,58.05,637.86,58.48,57.55
58.03,57.99,636.77,58.43,57.5
57.96,57.92,635.16,58.35,57.42
57.87,57.83,633.42,58.27,57.34
57.78,57.74,631.68,58.18,57.25
57.68,57.64,629.65,58.08,57.15
57.58,57.54,627.52,57.97,57.05
57.46,57.42,625.21,57.86,56.94
57.34,57.3,622.7,57.73,56.81
57.2,57.17,620.03,57.6,56.68
57.05,57.01,616.9,57.44,56.53
56.87,56.83,613.23,57.26,56.35
56.65,56.62,608.98,57.05,56.14
56.44,56.4,604.58,56.83,55.93
56.21,56.17,599.94,56.6,55.7
55.96,55.92,594.89,56.35,55.45
55.73,55.69,590.27,56.12,55.23
55.58,55.54,587.23,55.97,55.08
55.45,55.42,584.64,55.84,54.96
55.27,55.24,580.93,55.66,54.78
55.06,55.02,576.58,55.45,54.57
54.84,54.8,572.02,55.23,54.35
54.63,54.59,567.73,55.02,54.14
54.44,54.41,564.0,54.84,53.96
54.27,54.24,560.51,54.67,53.79
54.11,54.08,557.13,54.5,53.63
53.97,53.94,554.27,54.36,53.49
