open,close,Trading_turnover,high,low
59.27,59.23,661.61,59.67,58.72
59.36,59.32,663.41,59.76,58.81
59.44,59.39,664.9,59.83,58.88
59.44,59.4,664.89,59.84,58.88
59.38,59.34,663.75,59.78,58.83
59.29,59.25,661.92,59.69,58.74
59.19,59.15,659.83,59.59,58.64
59.09,59.05,657.82,59.49,58.54
58.98,58.94,655.53,59.38,58.43
58.84,58.8,652.72,59.24,58.29
58.69,58.65,649.84,59.09,58.15
58.54,58.5,646.84,58.94,58.0
58.39,58.35,643.76,58.79,57.85
58.24,58.2,640.74,58.64,57.7
58.07,58.04,637.44,58.47,57.54
57.89,57.86,633.85,58.29,57.36
57.7,57.67,630.03,58.1,57.17
57.5,57.46,625.85,57.89,56.97
57.28,57.24,621.55,57.68,56.76
57.06,57.02,617.07,57.45,56.54
56.81,56.77,612.13,57.2,56.3
56.55,56.52,606.92,56.95,56.04
56.29,56.26,601.67,56.69,55.78
56.04,56.0,596.52,56.43,55.53
55.78,55.75,591.34,56.17,55.28
55.53,55.49,586.18,55.92,55.03
55.28,55.24,581.11,55.67,54.79
55.04,55.0,576.12,55.43,54.54
54.82,54.79,571.77,55.21,54.33
54.65,54.62,568.26,55.04,54.16
