open,close,Trading_turnover,high,low
74.75,74.47,295.13,75.89,73.43
75.1,74.82,300.73,76.24,73.76
75.51,75.23,307.43,76.66,74.15
75.89,75.62,313.72,77.05,74.53
76.23,75.96,319.21,77.4,74.85
76.59,76.32,324.99,77.76,75.19
76.97,76.71,331.26,78.16,75.56
77.36,77.1,337.53,78.55,75.93
77.69,77.43,342.96,78.89,76.25
77.96,77.7,347.37,79.17,76.51
78.23,77.97,351.72,79.44,76.77
78.53,78.28,356.61,79.75,77.06
78.84,78.59,361.73,80.07,77.36
79.14,78.89,366.54,80.38,77.64
79.42,79.18,371.1,80.66,77.91
79.69,79.45,375.46,80.94,78.17
79.95,79.71,379.67,81.2,78.42
80.21,79.96,383.79,81.46,78.66
80.46,80.22,387.87,81.72,78.91
80.71,80.47,391.92,81.98,79.15
80.95,80.71,395.86,82.23,79.38
81.18,80.95,399.65,82.46,79.6
81.41,81.17,403.29,82.69,79.82
81.63,81.39,406.84,82.92,80.03
81.84,81.61,410.31,83.14,80.23
82.05,81.82,413.71,83.35,80.43
82.25,82.02,417.02,83.56,80.63
82.45,82.22,420.24,83.76,80.82
82.64,82.42,423.36,83.96,81.0
82.83,82.61,426.4,84.15,81.18
