open,close,Trading_turnover,high,low
67.84,67.52,183.99,68.82,66.8
68.7,68.38,197.64,69.69,67.62
69.21,68.89,205.68,70.22,68.11
69.53,69.22,210.81,70.55,68.42
69.81,69.5,215.26,70.83,68.69
70.06,69.75,219.24,71.09,68.93
70.3,69.99,223.0,71.33,69.15
70.57,70.26,227.48,71.61,69.41
70.91,70.61,233.1,71.96,69.74
71.29,70.99,239.33,72.35,70.11
71.65,71.35,245.2,72.71,70.45
71.97,71.68,250.36,73.04,70.76
72.28,71.99,255.33,73.36,71.06
72.61,72.32,260.66,73.69,71.37
72.96,72.67,266.32,74.05,71.71
73.32,73.03,272.14,74.42,72.05
73.68,73.39,277.99,74.79,72.4
74.04,73.75,283.76,75.15,72.74
74.38,74.1,289.41,75.51,73.08
74.73,74.45,295.0,75.86,73.41
75.07,74.8,300.6,76.22,73.74
75.42,75.15,306.24,76.57,74.07
75.77,75.5,311.88,76.93,74.41
76.11,75.85,317.45,77.28,74.74
76.45,76.19,322.92,77.62,75.06
76.78,76.52,328.28,77.96,75.38
77.11,76.85,333.56,78.3,75.69
77.43,77.17,338.77,78.63,76.0
77.75,77.49,343.9,78.95,76.3
78.06,77.8,348.94,79.27,76.6
