open,close,Trading_turnover,high,low
61.06,60.71,98.88,61.88,60.2
61.05,60.7,99.11,61.87,60.19
61.12,60.77,98.89,61.94,60.26
61.19,60.84,98.55,62.01,60.34
61.2,60.85,98.45,62.02,60.35
61.14,60.79,98.67,61.96,60.29
61.03,60.67,99.18,61.84,60.16
60.88,60.53,99.84,61.7,60.02
60.78,60.43,100.43,61.59,59.91
60.71,60.36,100.82,61.52,59.84
60.67,60.32,101.09,61.48,59.8
60.63,60.28,101.28,61.44,59.76
60.58,60.24,101.5,61.39,59.71
60.52,60.17,101.79,61.32,59.64
60.45,60.1,102.14,61.25,59.57
60.38,60.03,102.5,61.18,59.5
60.31,59.97,102.83,61.11,59.43
60.26,59.91,103.13,61.06,59.37
60.2,59.86,103.39,61.0,59.32
60.15,59.81,103.65,60.95,59.27
60.1,59.76,103.91,60.9,59.21
60.05,59.71,104.19,60.84,59.16
59.99,59.65,104.46,60.78,59.1
59.94,59.6,104.74,60.73,59.04
59.88,59.54,105.01,60.67,58.99
59.83,59.49,105.27,60.62,58.94
59.78,59.44,105.52,60.57,58.88
59.73,59.4,105.76,60.52,58.83
59.68,59.35,106.01,60.47,58.78
59.63,59.3,106.26,60.42,58.73
