open,close,Trading_turnover,high,low
59.23,58.9,108.0,60.01,58.32
59.0,58.67,109.17,59.78,58.08
58.88,58.56,109.89,59.65,57.96
58.88,58.55,110.08,59.65,57.95
58.94,58.62,109.86,59.72,58.02
59.03,58.7,109.45,59.8,58.11
59.05,58.72,109.24,59.83,58.13
58.99,58.66,109.46,59.76,58.07
58.89,58.56,109.93,59.66,57.96
58.78,58.45,110.48,59.55,57.85
58.7,58.38,110.92,59.47,57.77
58.67,58.35,111.12,59.44,57.74
58.66,58.34,111.19,59.43,57.73
58.64,58.32,111.26,59.41,57.71
58.61,58.28,111.41,59.37,57.68
58.56,58.24,111.64,59.32,57.63
58.5,58.18,111.91,59.27,57.57
58.45,58.12,112.19,59.21,57.51
58.4,58.08,112.45,59.16,57.46
58.36,58.03,112.67,59.12,57.42
58.32,58.0,112.86,59.08,57.38
58.28,57.96,113.05,59.04,57.34
58.24,57.92,113.26,58.99,57.29
58.19,57.87,113.48,58.95,57.25
58.14,57.82,113.72,58.9,57.2
58.1,57.78,113.96,58.85,57.15
58.05,57.73,114.19,58.8,57.1
58.01,57.69,114.41,58.76,57.05
57.96,57.64,114.64,58.71,57.01
57.92,57.6,114.86,58.67,56.96
