open,close,Trading_turnover,high,low
110.73,110.5,558.55,112.2,109.16
110.65,110.42,557.4,112.12,109.08
110.6,110.37,556.67,112.06,109.03
110.62,110.39,557.01,112.09,109.06
110.68,110.45,557.89,112.15,109.12
110.69,110.46,558.04,112.16,109.13
110.65,110.42,557.44,112.12,109.09
110.55,110.32,555.97,112.01,108.98
110.4,110.17,553.89,111.86,108.84
110.25,110.02,551.67,111.7,108.69
110.06,109.84,549.1,111.52,108.51
109.94,109.72,547.38,111.4,108.4
109.89,109.66,546.59,111.34,108.34
109.82,109.59,545.58,111.27,108.27
109.74,109.51,544.46,111.19,108.19
109.66,109.43,543.33,111.11,108.12
109.58,109.36,542.24,111.03,108.04
109.51,109.28,541.21,110.95,107.97
109.44,109.22,540.25,110.88,107.91
109.38,109.15,539.35,110.82,107.85
109.32,109.1,538.51,110.76,107.79
109.27,109.04,537.72,110.7,107.73
109.22,108.99,536.97,110.65,107.68
109.17,108.94,536.26,110.6,107.63
109.12,108.89,535.58,110.55,107.59
109.07,108.85,534.94,110.5,107.54
109.03,108.8,534.32,110.46,107.5
108.99,108.76,533.74,110.42,107.46
108.95,108.72,533.19,110.38,107.42
108.91,108.69,532.66,110.34,107.39
