open,close,Trading_turnover,high,low
103.72,103.49,458.03,105.02,102.31
103.46,103.23,454.42,104.76,102.06
103.35,103.12,452.83,104.65,101.95
103.43,103.2,453.99,104.73,102.03
103.63,103.4,456.74,104.93,102.22
103.9,103.68,460.68,105.21,102.49
104.15,103.92,464.23,105.47,102.73
104.28,104.05,466.04,105.59,102.86
104.35,104.12,467.06,105.67,102.92
104.4,104.17,467.86,105.72,102.98
104.43,104.2,468.32,105.75,103.01
104.5,104.28,469.37,105.83,103.08
104.63,104.4,471.14,105.95,103.2
104.74,104.51,472.72,106.07,103.31
104.83,104.61,474.1,106.16,103.4
104.92,104.69,475.36,106.25,103.48
105.01,104.78,476.57,106.34,103.57
105.09,104.86,477.77,106.43,103.65
105.17,104.94,478.96,106.51,103.73
105.25,105.03,480.16,106.6,103.81
105.34,105.11,481.35,106.68,103.89
105.42,105.19,482.52,106.76,103.97
105.5,105.27,483.67,106.85,104.05
105.58,105.35,484.79,106.93,104.13
105.65,105.43,485.89,107.0,104.2
105.73,105.5,486.96,107.08,104.27
105.8,105.57,488.01,107.16,104.35
105.87,105.65,489.05,107.23,104.42
105.94,105.72,490.06,107.3,104.48
106.01,105.79,491.05,107.37,104.55
