open,close,Trading_turnover,high,low
111.63,111.4,571.39,113.12,110.04
111.36,111.13,567.53,112.84,109.78
111.2,110.97,565.3,112.68,109.62
111.12,110.89,564.18,112.6,109.54
111.06,110.83,563.26,112.54,109.48
110.97,110.74,562.05,112.45,109.4
110.87,110.64,560.55,112.34,109.3
110.74,110.51,558.73,112.21,109.17
110.59,110.36,556.6,112.06,109.03
110.43,110.2,554.29,111.89,108.87
110.27,110.04,552.05,111.73,108.71
110.15,109.93,550.39,111.61,108.6
110.07,109.84,549.16,111.52,108.52
109.98,109.75,547.88,111.43,108.43
109.89,109.66,546.6,111.34,108.34
109.8,109.57,545.34,111.25,108.25
109.72,109.49,544.15,111.16,108.17
109.64,109.41,543.03,111.08,108.1
109.57,109.34,541.98,111.01,108.02
109.5,109.27,540.99,110.94,107.96
109.43,109.2,540.06,110.87,107.89
109.37,109.14,539.18,110.81,107.83
109.31,109.08,538.36,110.75,107.78
109.26,109.03,537.57,110.69,107.72
109.21,108.98,536.82,110.64,107.67
109.16,108.93,536.11,110.59,107.62
109.11,108.88,535.44,110.54,107.58
109.06,108.84,534.8,110.5,107.53
109.02,108.79,534.2,110.45,107.49
108.98,108.75,533.62,110.41,107.45
