open,close,Trading_turnover,high,low
101.3,101.07,423.23,102.54,99.94
101.78,101.55,430.1,103.03,100.41
102.01,101.78,433.45,103.27,100.64
102.19,101.97,436.11,103.46,100.82
102.38,102.16,438.82,103.66,101.0
102.59,102.36,441.82,103.87,101.21
102.82,102.59,445.05,104.1,101.43
103.01,102.78,447.79,104.29,101.61
103.11,102.88,449.28,104.4,101.71
103.13,102.91,449.63,104.42,101.74
103.14,102.91,449.7,104.43,101.74
103.23,103.0,451.05,104.53,101.83
103.39,103.16,453.28,104.68,101.98
103.51,103.28,455.04,104.81,102.1
103.61,103.38,456.54,104.91,102.21
103.71,103.48,457.92,105.01,102.3
103.8,103.58,459.29,105.11,102.39
103.9,103.67,460.67,105.21,102.48
104.0,103.77,462.06,105.31,102.58
104.09,103.87,463.47,105.41,102.68
104.19,103.96,464.87,105.51,102.77
104.29,104.06,466.27,105.61,102.87
104.38,104.16,467.65,105.71,102.96
104.48,104.25,469.0,105.8,103.05
104.57,104.34,470.33,105.9,103.14
104.66,104.44,471.65,105.99,103.23
104.75,104.53,472.95,106.08,103.32
104.84,104.62,474.24,106.17,103.41
104.93,104.7,475.52,106.27,103.5
105.02,104.79,476.77,106.35,103.58
