open,close,Trading_turnover,high,low
10.73,10.72,239.94,10.8,10.59
10.74,10.73,240.78,10.82,10.61
10.76,10.75,241.54,10.83,10.62
10.77,10.76,242.11,10.84,10.64
10.78,10.77,242.63,10.86,10.65
10.79,10.78,242.97,10.86,10.65
10.79,10.78,243.16,10.86,10.66
10.79,10.78,243.25,10.86,10.66
10.78,10.77,243.08,10.86,10.65
10.78,10.77,242.78,10.85,10.64
10.77,10.76,242.53,10.85,10.64
10.77,10.76,242.47,10.85,10.64
10.77,10.76,242.61,10.85,10.64
10.77,10.76,242.66,10.85,10.64
10.77,10.76,242.65,10.85,10.64
10.77,10.76,242.59,10.85,10.64
10.77,10.76,242.52,10.84,10.64
10.77,10.76,242.44,10.84,10.63
10.77,10.76,242.37,10.84,10.63
10.77,10.76,242.31,10.84,10.63
10.77,10.75,242.27,10.84,10.63
10.77,10.75,242.24,10.84,10.63
10.76,10.75,242.21,10.84,10.63
10.76,10.75,242.17,10.84,10.63
10.76,10.75,242.13,10.84,10.63
10.76,10.75,242.09,10.84,10.63
10.76,10.75,242.05,10.84,10.63
10.76,10.75,242.02,10.83,10.63
10.76,10.75,241.99,10.83,10.63
10.76,10.75,241.96,10.83,10.63
