open,close,Trading_turnover,high,low
10.43,10.42,227.36,10.51,10.31
10.43,10.42,227.21,10.5,10.3
10.45,10.44,227.77,10.52,10.32
10.47,10.46,228.71,10.54,10.34
10.5,10.49,229.7,10.57,10.37
10.52,10.51,230.67,10.59,10.39
10.54,10.53,231.65,10.62,10.41
10.56,10.55,232.48,10.63,10.43
10.57,10.56,233.01,10.65,10.44
10.58,10.57,233.27,10.65,10.45
10.58,10.57,233.31,10.65,10.45
10.58,10.57,233.61,10.66,10.45
10.6,10.59,234.16,10.67,10.47
10.61,10.6,234.63,10.68,10.48
10.62,10.6,235.03,10.69,10.48
10.62,10.61,235.37,10.69,10.49
10.63,10.62,235.67,10.7,10.5
10.63,10.62,235.94,10.71,10.5
10.64,10.63,236.19,10.71,10.51
10.65,10.64,236.44,10.72,10.51
10.65,10.64,236.68,10.72,10.52
10.66,10.65,236.93,10.73,10.52
10.66,10.65,237.16,10.73,10.53
10.67,10.66,237.37,10.74,10.53
10.67,10.66,237.57,10.74,10.54
10.67,10.66,237.76,10.75,10.54
10.68,10.67,237.93,10.75,10.55
10.68,10.67,238.11,10.75,10.55
10.69,10.67,238.27,10.76,10.55
10.69,10.68,238.42,10.76,10.56
