open,close,Trading_turnover,high,low
10.46,10.45,228.09,10.53,10.33
10.49,10.48,229.34,10.56,10.36
10.52,10.51,230.81,10.6,10.39
10.56,10.55,232.18,10.63,10.43
10.58,10.57,233.33,10.66,10.45
10.6,10.59,234.22,10.68,10.47
10.62,10.61,234.87,10.69,10.49
10.62,10.61,235.26,10.7,10.49
10.63,10.62,235.44,10.7,10.5
10.63,10.62,235.57,10.7,10.5
10.63,10.62,235.66,10.7,10.5
10.64,10.63,235.92,10.71,10.5
10.65,10.64,236.39,10.72,10.51
10.65,10.64,236.74,10.73,10.52
10.66,10.65,237.01,10.73,10.53
10.66,10.65,237.23,10.74,10.53
10.67,10.66,237.42,10.74,10.53
10.67,10.66,237.59,10.74,10.54
10.67,10.66,237.77,10.75,10.54
10.68,10.67,237.94,10.75,10.55
10.68,10.67,238.12,10.75,10.55
10.69,10.67,238.29,10.76,10.55
10.69,10.68,238.45,10.76,10.56
10.69,10.68,238.59,10.76,10.56
10.69,10.68,238.73,10.77,10.56
10.7,10.69,238.86,10.77,10.56
10.7,10.69,238.98,10.77,10.57
10.7,10.69,239.1,10.78,10.57
10.7,10.69,239.21,10.78,10.57
10.71,10.7,239.32,10.78,10.57
