open,close,Trading_turnover,high,low
11.63,11.63,297.58,11.74,11.48
11.66,11.66,299.91,11.77,11.5
11.67,11.67,300.99,11.78,11.52
11.68,11.67,301.52,11.79,11.52
11.67,11.66,301.09,11.78,11.51
11.66,11.66,300.62,11.77,11.5
11.65,11.65,300.18,11.76,11.5
11.64,11.63,299.02,11.75,11.48
11.62,11.62,297.9,11.73,11.47
11.61,11.6,296.99,11.72,11.45
11.59,11.59,296.07,11.7,11.44
11.59,11.58,295.53,11.69,11.43
11.58,11.58,295.28,11.69,11.43
11.58,11.57,294.93,11.68,11.42
11.57,11.56,294.53,11.68,11.41
11.56,11.56,294.13,11.67,11.41
11.56,11.55,293.73,11.66,11.4
11.55,11.55,293.36,11.66,11.4
11.55,11.54,293.02,11.65,11.39
11.54,11.54,292.71,11.65,11.39
11.54,11.53,292.45,11.64,11.38
11.53,11.53,292.21,11.64,11.38
11.53,11.53,291.99,11.64,11.38
11.53,11.52,291.78,11.63,11.37
11.52,11.52,291.58,11.63,11.37
11.52,11.52,291.39,11.63,11.37
11.52,11.51,291.22,11.63,11.36
11.52,11.51,291.05,11.62,11.36
11.51,11.51,290.91,11.62,11.36
11.51,11.51,290.77,11.62,11.36
