open,close,Trading_turnover,high,low
10.69,10.68,238.42,10.76,10.56
10.67,10.65,237.48,10.74,10.53
10.66,10.65,237.07,10.73,10.53
10.66,10.65,237.13,10.73,10.53
10.67,10.66,237.37,10.74,10.54
10.68,10.67,237.71,10.75,10.54
10.69,10.67,238.01,10.76,10.55
10.69,10.68,238.27,10.76,10.56
10.7,10.69,238.57,10.77,10.57
10.7,10.69,238.88,10.77,10.57
10.7,10.69,238.9,10.77,10.57
10.7,10.69,238.86,10.77,10.56
10.7,10.69,239.03,10.77,10.57
10.71,10.69,239.2,10.78,10.57
10.71,10.7,239.35,10.78,10.58
10.71,10.7,239.48,10.78,10.58
10.71,10.7,239.58,10.79,10.58
10.71,10.7,239.67,10.79,10.58
10.72,10.7,239.74,10.79,10.58
10.72,10.71,239.81,10.79,10.58
10.72,10.71,239.88,10.79,10.59
10.72,10.71,239.95,10.79,10.59
10.72,10.71,240.03,10.79,10.59
10.72,10.71,240.1,10.8,10.59
10.72,10.71,240.16,10.8,10.59
10.73,10.71,240.22,10.8,10.59
10.73,10.72,240.27,10.8,10.59
10.73,10.72,240.32,10.8,10.59
10.73,10.72,240.37,10.8,10.59
10.73,10.72,240.42,10.8,10.6
