open,close,Trading_turnover,high,low
40.46,40.46,77.56,40.52,40.06
40.41,40.41,77.3,40.47,40.01
40.32,40.32,76.84,40.38,39.93
40.21,40.21,76.32,40.28,39.82
40.08,40.08,75.73,40.16,39.7
39.93,39.94,75.04,40.01,39.56
39.76,39.76,74.22,39.84,39.39
39.54,39.54,73.2,39.63,39.18
39.26,39.26,71.89,39.36,38.91
38.9,38.9,70.22,39.01,38.57
38.5,38.51,68.35,38.62,38.18
38.27,38.27,67.24,38.4,37.96
38.19,38.2,66.88,38.33,37.89
38.1,38.11,66.44,38.24,37.8
38.0,38.01,65.95,38.14,37.7
37.89,37.9,65.41,38.03,37.6
37.77,37.78,64.82,37.91,37.48
37.64,37.65,64.18,37.79,37.36
37.51,37.52,63.53,37.66,37.23
37.38,37.39,62.89,37.53,37.1
37.26,37.27,62.3,37.42,36.99
37.16,37.17,61.81,37.33,36.89
37.09,37.1,61.43,37.25,36.82
37.02,37.03,61.1,37.19,36.76
36.95,36.96,60.74,37.12,36.69
36.88,36.89,60.37,37.05,36.62
36.81,36.81,59.99,36.98,36.55
36.73,36.74,59.62,36.91,36.48
36.66,36.67,59.26,36.84,36.41
36.6,36.6,58.92,36.77,36.35
