open,close,Trading_turnover,high,low
40.6,40.6,78.23,40.66,40.2
40.59,40.58,78.14,40.65,40.18
40.53,40.53,77.83,40.59,40.13
40.45,40.45,77.43,40.51,40.05
40.34,40.34,76.9,40.4,39.94
40.19,40.19,76.2,40.26,39.8
40.0,40.0,75.31,40.07,39.62
39.75,39.75,74.15,39.83,39.38
39.42,39.43,72.67,39.52,39.07
39.04,39.04,70.89,39.15,38.7
38.62,38.62,68.9,38.74,38.3
38.37,38.37,67.72,38.49,38.06
38.3,38.3,67.38,38.43,37.99
38.21,38.22,66.96,38.34,37.9
38.11,38.11,66.46,38.24,37.81
37.99,38.0,65.9,38.13,37.69
37.86,37.87,65.27,38.0,37.57
37.73,37.73,64.6,37.87,37.44
37.58,37.59,63.9,37.73,37.3
37.45,37.45,63.23,37.6,37.17
37.33,37.33,62.62,37.48,37.05
37.23,37.23,62.12,37.38,36.95
37.15,37.16,61.73,37.31,36.88
37.08,37.09,61.39,37.24,36.81
37.01,37.02,61.02,37.17,36.74
36.93,36.94,60.64,37.1,36.67
36.86,36.86,60.25,37.03,36.6
36.78,36.79,59.86,36.95,36.52
36.71,36.71,59.49,36.88,36.45
36.64,36.65,59.14,36.81,36.39
