date,stock_id,Trading_Volume,Trading_money,open,close,spread,Trading_turnover,high,low
2015-02-13,2468,116000,1482600,12.8,12.75,-0.1,54.0,12.85,12.7
2015-02-24,2468,164000,2093250,12.95,12.75,0.0,38.0,13.0,12.7
2015-02-25,2468,139000,1767550,12.75,12.8,0.05,48.0,12.8,12.65
2015-02-26,2468,79000,1018250,12.8,12.9,0.1,33.0,12.95,12.8
2015-03-02,2468,54000,697300,12.95,12.95,0.05,30.0,12.95,12.8
2015-03-03,2468,39576,510822,12.95,12.9,-0.05,22.0,12.95,12.8
2015-03-04,2468,99754,1279062,12.95,12.85,-0.05,50.0,12.95,12.75
2015-03-05,2468,87622,1125461,12.85,12.9,0.05,43.0,13.0,12.75
2015-03-06,2468,107000,1381900,12.9,13.0,0.1,43.0,13.0,12.8
2015-03-09,2468,115050,1503407,13.0,13.2,0.2,70.0,13.2,12.95
2015-03-10,2468,160000,2096200,13.2,13.25,0.05,86.0,13.3,12.9
2015-03-11,2468,134721,1747450,13.15,12.95,-0.3,74.0,13.15,12.85
2015-03-12,2468,75000,969250,13.05,12.95,0.0,35.0,13.1,12.85
2015-03-13,2468,110000,1419400,12.95,12.95,0.0,45.0,12.95,12.85
2015-03-16,2468,50000,646650,13.0,13.0,0.05,26.0,13.1,12.85
2015-03-17,2468,212001,2736462,13.1,12.9,-0.1,53.0,13.1,12.8
2015-03-18,2468,141245,1818534,12.9,12.8,-0.1,53.0,13.0,12.8
2015-03-19,2468,95301,1223537,12.85,12.8,0.0,48.0,13.0,12.8
2015-03-20,2468,337001,4381262,12.9,12.85,0.05,106.0,13.1,12.8
2015-03-23,2468,140000,1798750,12.95,12.85,0.0,61.0,13.0,12.8
2015-03-24,2468,81000,1035700,12.85,12.75,-0.1,43.0,12.9,12.7
2015-03-25,2468,113258,1441626,12.75,12.7,-0.05,59.0,12.85,12.65
2015-03-26,2468,230576,2929514,12.6,12.85,0.15,103.0,12.85,12.6
2015-03-27,2468,108198,1390784,12.85,12.9,0.05,55.0,12.95,12.8
2015-03-30,2468,115001,1458062,12.95,12.6,-0.3,73.0,12.95,12.6
2015-03-31,2468,56001,707562,12.65,12.6,0.0,38.0,12.75,12.6
2015-04-01,2468,133100,1670914,12.6,12.55,-0.05,63.0,12.7,12.5
2015-04-02,2468,98000,1244600,12.65,12.65,0.1,60.0,12.95,12.55
2015-04-07,2468,65001,833262,12.8,12.9,0.25,32.0,12.9,12.7
2015-04-08,2468,47000,605150,12.85,12.9,0.0,35.0,12.95,12.8
2015-04-09,2468,155195,2004846,12.9,12.85,-0.05,72.0,13.05,12.85
2015-04-10,2468,124968,1603941,12.95,12.8,-0.05,61.0,13.0,12.55
2015-04-13,2468,61000,784350,12.7,12.95,0.15,40.0,12.95,12.7
2015-04-14,2468,58000,744850,12.9,12.8,-0.15,24.0,12.95,12.8
