date,stock_id,Trading_Volume,Trading_money,open,close,spread,Trading_turnover,high,low
2015-01-05,2427,355117,3072465,8.64,8.61,-1.0,126,8.77,8.6
2015-01-06,2427,177001,1508418,8.61,8.45,-1.0,72,8.61,8.45
2015-01-07,2427,138879,1183369,8.45,8.57,-1.0,58,8.57,8.45
2015-01-08,2427,698163,6132183,8.64,8.8,-1.0,249,9.0,8.6
2015-01-09,2427,196000,1729530,8.83,8.77,-1.0,90,8.92,8.77
2015-01-12,2427,729000,6594880,9.25,8.9,-1.0,265,9.25,8.89
2015-01-13,2427,301274,2710472,9.1,8.97,-1.0,127,9.1,8.93
2015-01-14,2427,749255,6848598,9.0,9.17,-1.0,300,9.23,8.97
2015-01-15,2427,393000,3574730,9.17,9.02,-1.0,168,9.25,9.0
2015-01-16,2427,284113,2522792,9.03,8.76,-1.0,136,9.05,8.76
2015-01-19,2427,166999,1478290,8.8,8.81,-1.0,64,8.91,8.8
2015-01-20,2427,5672727,53146658,8.86,9.42,-1.0,1123,9.42,8.77
2015-01-21,2427,1629382,15252738,9.5,9.22,-1.0,591,9.51,9.2
2015-01-22,2427,613041,5625515,9.3,9.18,-1.0,236,9.3,9.13
2015-01-23,2427,1165708,10862522,9.23,9.23,-1.0,315,9.45,9.17
2015-01-26,2427,495000,4540520,9.23,9.15,-1.0,122,9.29,9.14
2015-01-27,2427,292419,2669091,9.16,9.09,-1.0,142,9.23,9.08
2015-01-28,2427,253573,2298027,9.02,9.12,-1.0,99,9.13,9.01
2015-01-29,2427,242000,2193460,9.12,9.12,0.0,92,9.14,9.03
2015-01-30,2427,149413,1351937,9.15,9.02,-1.0,77,9.15,9.02
2015-02-02,2427,247001,2210048,9.03,8.9,-1.0,104,9.09,8.9
2015-02-03,2427,196101,1747328,8.9,8.93,-1.0,93,8.94,8.87
2015-02-04,2427,234882,2109249,8.97,8.9,-1.0,95,9.05,8.9
2015-02-05,2427,185234,1635059,8.9,8.82,-1.0,97,8.9,8.8
2015-02-06,2427,133411,1182096,8.85,8.82,0.0,70,8.94,8.82
2015-02-09,2427,400271,3470336,8.82,8.65,-1.0,141,8.82,8.62
2015-02-10,2427,126000,1093010,8.75,8.65,0.0,81,8.75,8.64
2015-02-11,2427,199500,1743159,8.7,8.71,-1.0,99,8.8,8.7
2015-02-12,2427,113000,983840,8.75,8.68,-1.0,52,8.75,8.66
2015-02-13,2427,153000,1324380,8.72,8.62,-1.0,82,8.75,8.6
2015-02-24,2427,138017,1197745,8.74,8.65,-1.0,57,8.74,8.65
2015-02-25,2427,181073,1572997,8.69,8.7,-1.0,84,8.73,8.65
2015-02-26,2427,305182,2691665,8.7,8.87,0.17,135,8.9,8.67
2015-03-02,2427,173979,1532086,8.91,8.79,-1.0,76,8.91,8.76
2015-03-03,2427,146887,1300055,8.85,8.83,0.04,62,8.9,8.8
2015-03-04,2427,221000,1945610,8.85,8.82,-1.0,72,8.85,8.75
2015-03-05,2427,264528,2352075,8.83,8.93,-1.0,116,8.93,8.82
2015-03-06,2427,176200,1572197,8.96,8.9,-1.0,81,8.96,8.89
2015-03-09,2427,230026,2023418,8.9,8.84,-1.0,96,8.9,8.75
2015-03-10,2427,1009777,9233501,9.0,9.1,-1.0,417,9.3,8.99
