時間,開,高,低,收,漲跌,量(張)
13:30,43.50,43.50,43.50,43.50,▽0.10,97
13:25,43.50,43.55,43.50,43.50,▽0.10,4
13:24,43.50,43.50,43.50,43.50,▽0.10,19
13:23,43.50,43.50,43.50,43.50,▽0.10,8
13:22,43.50,43.55,43.50,43.50,▽0.10,18
13:21,43.55,43.55,43.55,43.55,▽0.05,1
13:20,43.50,43.55,43.50,43.55,▽0.05,3
13:19,43.50,43.55,43.50,43.55,▽0.05,14
13:18,43.50,43.55,43.50,43.50,▽0.10,8
13:17,43.55,43.55,43.55,43.55,▽0.05,2
13:16,43.55,43.55,43.55,43.55,▽0.05,2
13:15,43.55,43.55,43.55,43.55,▽0.05,1
13:14,43.50,43.55,43.50,43.50,▽0.10,3
13:13,43.55,43.55,43.55,43.55,▽0.05,1
13:12,43.55,43.55,43.55,43.55,▽0.05,2
13:11,43.55,43.55,43.50,43.50,▽0.10,7
13:09,43.50,43.50,43.50,43.50,▽0.10,3
13:08,43.50,43.50,43.50,43.50,▽0.10,2
13:07,43.55,43.55,43.50,43.50,▽0.10,3
13:06,43.55,43.55,43.50,43.55,▽0.05,72
13:05,43.50,43.55,43.50,43.50,▽0.10,8
13:04,43.55,43.55,43.55,43.55,▽0.05,4
13:03,43.50,43.55,43.50,43.55,▽0.05,2
13:02,43.50,43.55,43.50,43.55,▽0.05,4
13:00,43.55,43.55,43.50,43.50,▽0.10,2
12:59,43.55,43.55,43.50,43.50,▽0.10,6
12:58,43.50,43.50,43.50,43.50,▽0.10,2
12:57,43.50,43.55,43.50,43.55,▽0.05,5
12:56,43.50,43.50,43.50,43.50,▽0.10,15
12:53,43.55,43.55,43.55,43.55,▽0.05,7
12:51,43.55,43.55,43.55,43.55,▽0.05,20
12:50,43.55,43.55,43.50,43.50,▽0.10,3
12:47,43.55,43.55,43.55,43.55,▽0.05,1
12:46,43.50,43.50,43.50,43.50,▽0.10,21
12:45,43.50,43.50,43.50,43.50,▽0.10,3
12:42,43.55,43.55,43.55,43.55,▽0.05,1
12:41,43.50,43.50,43.50,43.50,▽0.10,3
12:40,43.55,43.55,43.55,43.55,▽0.05,1
12:39,43.55,43.55,43.55,43.55,▽0.05,2
12:36,43.55,43.60,43.50,43.60,0.00,17
12:35,43.55,43.55,43.55,43.55,▽0.05,1
12:34,43.55,43.55,43.50,43.55,▽0.05,11
12:33,43.50,43.50,43.50,43.50,▽0.10,2
12:32,43.55,43.55,43.55,43.55,▽0.05,3
12:31,43.55,43.55,43.55,43.55,▽0.05,4
12:30,43.55,43.60,43.55,43.55,▽0.05,5
12:29,43.55,43.60,43.55,43.60,0.00,27
12:27,43.60,43.60,43.60,43.60,0.00,10
12:25,43.60,43.60,43.60,43.60,0.00,14
12:24,43.60,43.60,43.60,43.60,0.00,5
12:23,43.60,43.60,43.55,43.60,0.00,19
12:22,43.60,43.60,43.55,43.60,0.00,14
12:21,43.60,43.60,43.55,43.60,0.00,16
12:20,43.60,43.60,43.55,43.60,0.00,8
12:19,43.55,43.60,43.55,43.60,0.00,2
12:18,43.55,43.55,43.55,43.55,▽0.05,7
12:16,43.55,43.55,43.55,43.55,▽0.05,7
12:15,43.55,43.55,43.55,43.55,▽0.05,5
12:14,43.55,43.55,43.55,43.55,▽0.05,3
12:11,43.60,43.60,43.55,43.55,▽0.05,2
