時間,開,高,低,收,漲跌,量(張)
13:30,23.05,23.05,23.05,23.05,▽0.10,2
13:21,23.05,23.05,23.05,23.05,▽0.10,1
13:15,23.10,23.10,23.10,23.10,▽0.05,1
13:06,23.05,23.05,23.05,23.05,▽0.10,3
13:02,23.00,23.00,23.00,23.00,▽0.15,1
13:01,23.00,23.00,23.00,23.00,▽0.15,4
13:00,23.00,23.00,23.00,23.00,▽0.15,1
12:59,23.05,23.05,23.00,23.00,▽0.15,42
12:41,23.05,23.05,23.05,23.05,▽0.10,10
12:39,23.05,23.05,23.05,23.05,▽0.10,7
12:38,23.05,23.05,23.05,23.05,▽0.10,5
12:36,23.05,23.05,23.05,23.05,▽0.10,1
12:30,23.10,23.10,23.10,23.10,▽0.05,1
12:29,23.10,23.10,23.10,23.10,▽0.05,9
12:27,23.15,23.15,23.10,23.10,▽0.05,14
12:20,23.10,23.10,23.10,23.10,▽0.05,7
12:19,23.15,23.15,23.15,23.15,0.00,18
12:17,23.15,23.15,23.15,23.15,0.00,2
12:15,23.15,23.15,23.15,23.15,0.00,20
12:14,23.20,23.20,23.20,23.20,△0.05,1
12:06,23.20,23.20,23.20,23.20,△0.05,5
12:00,23.20,23.20,23.20,23.20,△0.05,13
11:58,23.30,23.30,23.30,23.30,△0.15,6
11:45,23.30,23.30,23.30,23.30,△0.15,1
11:44,23.20,23.20,23.20,23.20,△0.05,1
11:42,23.30,23.30,23.30,23.30,△0.15,1
11:40,23.30,23.30,23.30,23.30,△0.15,4
11:37,23.35,23.35,23.35,23.35,△0.20,1
11:35,23.35,23.35,23.35,23.35,△0.20,1
11:19,23.35,23.35,23.35,23.35,△0.20,2
11:13,23.35,23.35,23.35,23.35,△0.20,1
11:11,23.35,23.35,23.35,23.35,△0.20,1
11:08,23.30,23.30,23.30,23.30,△0.15,1
11:07,23.35,23.35,23.35,23.35,△0.20,1
11:06,23.35,23.35,23.35,23.35,△0.20,1
11:04,23.35,23.35,23.35,23.35,△0.20,2
11:02,23.35,23.35,23.35,23.35,△0.20,1
11:00,23.35,23.35,23.35,23.35,△0.20,7
10:59,23.40,23.40,23.40,23.40,△0.25,5
10:58,23.40,23.40,23.40,23.40,△0.25,5
10:57,23.40,23.40,23.40,23.40,△0.25,4
10:56,23.45,23.45,23.40,23.40,△0.25,7
10:55,23.45,23.45,23.45,23.45,△0.30,3
10:54,23.45,23.45,23.45,23.45,△0.30,3
10:53,23.45,23.45,23.45,23.45,△0.30,2
10:51,23.40,23.40,23.40,23.40,△0.25,5
10:50,23.40,23.40,23.40,23.40,△0.25,30
10:49,23.30,23.30,23.30,23.30,△0.15,2
10:48,23.30,23.30,23.30,23.30,△0.15,2
10:47,23.30,23.30,23.30,23.30,△0.15,3
10:46,23.25,23.30,23.25,23.30,△0.15,2
10:44,23.20,23.20,23.20,23.20,△0.05,3
10:41,23.15,23.15,23.15,23.15,0.00,19
10:40,23.15,23.15,23.15,23.15,0.00,1
10:34,23.10,23.10,23.10,23.10,▽0.05,20
10:29,23.10,23.10,23.10,23.10,▽0.05,1
10:24,23.05,23.05,23.05,23.05,▽0.10,5
10:18,23.10,23.10,23.10,23.10,▽0.05,1
10:15,23.05,23.05,23.05,23.05,▽0.10,1
10:14,23.05,23.05,23.05,23.05,▽0.10,6
10:13,23.05,23.05,23.05,23.05,▽0.10,1
