date,stock_id,Trading_Volume,Trading_money,open,close,spread,Trading_turnover,high,low
2015-01-05,6112,195976,7096379,36.35,36.45,0.1,125.0,36.6,36.0
2015-01-06,6112,253500,9142371,36.45,35.9,-0.55,146.0,36.45,35.9
2015-01-07,6112,109066,3912526,35.9,35.75,-0.15,75.0,36.0,35.75
2015-01-08,6112,166402,5987875,35.85,35.9,0.15,107.0,36.2,35.85
2015-01-09,6112,277715,10011224,36.1,35.95,0.05,117.0,36.15,35.9
2015-01-12,6112,155830,5581491,36.0,35.7,-0.25,119.0,36.0,35.7
2015-01-13,6112,145563,5201819,35.7,35.7,0.0,91.0,35.8,35.7
2015-01-14,6112,129506,4627231,35.7,35.75,0.05,102.0,35.8,35.7
2015-01-15,6112,108575,3872402,35.8,35.8,0.05,63.0,35.8,35.6
2015-01-16,6112,219286,7767610,35.8,35.2,-0.6,137.0,35.8,35.1
2015-01-19,6112,222444,7815890,35.3,35.0,-0.2,126.0,35.45,35.0
2015-01-20,6112,188651,6649176,35.1,35.35,0.35,75.0,35.4,35.1
2015-01-21,6112,133698,4736317,35.4,35.45,0.1,59.0,35.5,35.4
2015-01-22,6112,101040,3585567,35.5,35.55,0.1,74.0,35.55,35.4
2015-01-23,6112,177490,6322388,35.55,35.6,0.05,97.0,35.75,35.55
2015-01-26,6112,74883,2675778,35.6,35.65,0.05,65.0,35.85,35.6
2015-01-27,6112,245326,8766469,35.7,35.7,0.05,174.0,35.95,35.3
2015-01-28,6112,29927,1066658,35.7,35.7,0.0,34.0,35.7,35.6
2015-01-29,6112,39497,1404489,35.7,35.5,-0.2,45.0,35.7,35.5
2015-01-30,6112,93847,3346004,35.6,35.55,0.05,52.0,35.75,35.55
2015-02-02,6112,166465,5872704,35.6,35.4,-0.15,100.0,35.6,35.0
2015-02-03,6112,38105,1352159,35.5,35.4,0.0,37.0,35.6,35.4
2015-02-04,6112,71343,2533888,35.55,35.5,0.1,50.0,35.6,35.45
2015-02-05,6112,96747,3446488,35.5,35.6,0.1,81.0,35.7,35.5
2015-02-06,6112,48651,1736073,35.7,35.6,0.0,46.0,35.8,35.6
2015-02-09,6112,47220,1678922,35.6,35.55,-0.05,35.0,35.6,35.5
2015-02-10,6112,82100,2931051,35.6,35.7,0.15,58.0,35.8,35.6
2015-02-11,6112,79180,2832346,35.8,35.75,0.05,91.0,35.8,35.7
2015-02-12,6112,56932,2036357,35.9,35.75,0.0,62.0,35.9,35.75
2015-02-13,6112,141603,5071781,35.8,35.85,0.1,72.0,35.9,35.75
2015-02-24,6112,109903,3996124,36.85,36.4,0.55,116.0,36.85,36.0
2015-02-25,6112,179200,6528236,36.5,36.3,-0.1,95.0,36.75,36.25
2015-02-26,6112,139835,5079305,36.4,36.3,0.0,86.0,36.45,36.25
2015-03-02,6112,139062,5054383,36.35,36.15,-0.15,127.0,36.55,36.15
2015-03-03,6112,69417,2516636,36.45,36.2,0.05,74.0,36.45,36.2
2015-03-04,6112,127469,4629646,36.35,36.25,0.05,81.0,36.35,36.25
2015-03-05,6112,112866,4092909,36.35,36.25,0.0,82.0,36.4,36.2
2015-03-06,6112,159877,5832321,36.4,36.5,0.25,120.0,36.75,36.25
2015-03-09,6112,142946,5196728,36.7,36.3,-0.2,118.0,36.7,36.25
2015-03-10,6112,186573,6799150,36.5,36.4,0.1,110.0,36.65,36.25
2015-03-11,6112,126357,4582217,36.2,36.25,-0.15,106.0,36.4,36.2
2015-03-12,6112,91782,3342051,36.25,36.4,0.15,93.0,36.5,36.25
