時間,開,高,低,收,漲跌,量(張)
13:30,38.65,38.65,38.65,38.65,▽0.25,27
13:25,38.60,38.60,38.60,38.60,▽0.30,1
13:19,38.55,38.55,38.55,38.55,▽0.35,2
13:18,38.60,38.60,38.60,38.60,▽0.30,1
13:15,38.55,38.55,38.55,38.55,▽0.35,4
13:14,38.60,38.60,38.55,38.55,▽0.35,15
13:13,38.60,38.60,38.60,38.60,▽0.30,11
13:12,38.65,38.65,38.60,38.60,▽0.30,2
13:11,38.65,38.70,38.65,38.65,▽0.25,5
13:05,38.65,38.65,38.65,38.65,▽0.25,1
12:57,38.60,38.60,38.60,38.60,▽0.30,5
12:55,38.65,38.70,38.55,38.55,▽0.35,33
12:54,38.70,38.70,38.70,38.70,▽0.20,2
12:52,38.65,38.65,38.65,38.65,▽0.25,1
12:51,38.65,38.65,38.65,38.65,▽0.25,2
12:50,38.70,38.70,38.70,38.70,▽0.20,1
12:49,38.70,38.70,38.70,38.70,▽0.20,3
12:44,38.75,38.75,38.75,38.75,▽0.15,1
12:43,38.65,38.70,38.65,38.70,▽0.20,7
12:42,38.65,38.65,38.65,38.65,▽0.25,12
12:40,38.60,38.60,38.60,38.60,▽0.30,1
12:39,38.65,38.65,38.60,38.65,▽0.25,3
12:38,38.60,38.65,38.60,38.65,▽0.25,12
12:37,38.60,38.60,38.60,38.60,▽0.30,6
12:36,38.65,38.65,38.60,38.60,▽0.30,13
12:35,38.70,38.70,38.65,38.65,▽0.25,11
12:34,38.70,38.70,38.70,38.70,▽0.20,6
12:33,38.70,38.70,38.70,38.70,▽0.20,4
12:32,38.70,38.70,38.70,38.70,▽0.20,5
12:31,38.70,38.70,38.70,38.70,▽0.20,3
12:30,38.70,38.70,38.70,38.70,▽0.20,3
12:29,38.75,38.75,38.75,38.75,▽0.15,3
12:25,38.75,38.75,38.70,38.75,▽0.15,32
12:21,38.75,38.75,38.75,38.75,▽0.15,2
12:17,38.75,38.75,38.75,38.75,▽0.15,2
12:16,38.75,38.75,38.75,38.75,▽0.15,1
12:13,38.80,38.80,38.80,38.80,▽0.10,4
12:12,38.80,38.80,38.80,38.80,▽0.10,1
12:10,38.75,38.85,38.75,38.85,▽0.05,14
12:09,38.80,38.80,38.80,38.80,▽0.10,11
12:04,38.80,38.80,38.80,38.80,▽0.10,1
12:03,38.80,38.80,38.80,38.80,▽0.10,1
12:02,38.80,38.80,38.80,38.80,▽0.10,2
12:00,38.80,38.80,38.80,38.80,▽0.10,1
11:59,38.80,38.80,38.80,38.80,▽0.10,2
11:57,38.75,38.75,38.75,38.75,▽0.15,1
11:56,38.75,38.80,38.75,38.80,▽0.10,2
11:55,38.75,38.80,38.75,38.80,▽0.10,6
11:54,38.85,38.85,38.80,38.80,▽0.10,7
11:53,38.75,38.80,38.75,38.80,▽0.10,6
11:52,38.75,38.75,38.75,38.75,▽0.15,6
11:50,38.75,38.80,38.70,38.70,▽0.20,21
11:49,38.75,38.75,38.75,38.75,▽0.15,8
11:48,38.70,38.70,38.65,38.70,▽0.20,55
11:46,38.65,38.75,38.65,38.70,▽0.20,37
11:45,38.80,38.80,38.70,38.70,▽0.20,41
11:44,39.00,39.00,38.70,38.80,▽0.10,99
11:43,38.50,39.05,38.50,39.05,△0.15,112
11:41,38.55,38.55,38.50,38.50,▽0.40,2
11:40,38.50,38.50,38.50,38.50,▽0.40,1
