時間,開,高,低,收,漲跌,量(張)
13:30,17.45,17.45,17.45,17.45,▽0.20,25
13:24,17.45,17.45,17.45,17.45,▽0.20,1
13:23,17.45,17.45,17.45,17.45,▽0.20,2
13:22,17.45,17.45,17.45,17.45,▽0.20,1
13:21,17.45,17.45,17.45,17.45,▽0.20,1
13:17,17.45,17.45,17.45,17.45,▽0.20,4
13:16,17.45,17.45,17.40,17.45,▽0.20,5
13:13,17.45,17.45,17.45,17.45,▽0.20,8
12:56,17.50,17.50,17.50,17.50,▽0.15,1
12:48,17.45,17.45,17.45,17.45,▽0.20,3
12:41,17.40,17.40,17.40,17.40,▽0.25,1
12:39,17.40,17.40,17.40,17.40,▽0.25,9
12:38,17.40,17.40,17.40,17.40,▽0.25,8
12:37,17.40,17.40,17.40,17.40,▽0.25,7
12:34,17.45,17.45,17.45,17.45,▽0.20,23
12:33,17.45,17.45,17.45,17.45,▽0.20,1
12:24,17.45,17.45,17.45,17.45,▽0.20,1
12:20,17.50,17.50,17.50,17.50,▽0.15,10
12:14,17.50,17.50,17.50,17.50,▽0.15,1
12:12,17.50,17.50,17.50,17.50,▽0.15,3
12:10,17.50,17.50,17.50,17.50,▽0.15,7
12:09,17.50,17.50,17.50,17.50,▽0.15,4
12:00,17.50,17.50,17.50,17.50,▽0.15,1
11:59,17.50,17.50,17.50,17.50,▽0.15,2
11:58,17.55,17.55,17.55,17.55,▽0.10,2
11:56,17.60,17.60,17.60,17.60,▽0.05,5
11:55,17.55,17.55,17.55,17.55,▽0.10,2
11:52,17.55,17.55,17.55,17.55,▽0.10,1
11:48,17.60,17.60,17.60,17.60,▽0.05,3
11:47,17.60,17.60,17.60,17.60,▽0.05,7
11:44,17.55,17.65,17.55,17.65,0.00,38
11:43,17.55,17.55,17.55,17.55,▽0.10,5
11:39,17.50,17.50,17.50,17.50,▽0.15,1
11:37,17.50,17.50,17.50,17.50,▽0.15,2
11:36,17.50,17.50,17.50,17.50,▽0.15,1
11:24,17.45,17.45,17.45,17.45,▽0.20,5
11:22,17.45,17.45,17.45,17.45,▽0.20,1
11:18,17.45,17.45,17.45,17.45,▽0.20,1
11:17,17.45,17.45,17.45,17.45,▽0.20,8
11:11,17.45,17.45,17.45,17.45,▽0.20,1
11:07,17.45,17.45,17.45,17.45,▽0.20,11
10:58,17.50,17.50,17.50,17.50,▽0.15,1
10:47,17.50,17.50,17.50,17.50,▽0.15,13
10:46,17.55,17.55,17.55,17.55,▽0.10,10
10:42,17.55,17.55,17.55,17.55,▽0.10,1
10:40,17.55,17.55,17.55,17.55,▽0.10,1
10:33,17.55,17.55,17.55,17.55,▽0.10,5
10:28,17.60,17.60,17.60,17.60,▽0.05,1
10:24,17.60,17.60,17.60,17.60,▽0.05,3
10:07,17.60,17.60,17.60,17.60,▽0.05,1
10:04,17.50,17.55,17.50,17.55,▽0.10,9
10:03,17.55,17.55,17.55,17.55,▽0.10,8
09:59,17.60,17.60,17.60,17.60,▽0.05,1
09:53,17.60,17.60,17.60,17.60,▽0.05,1
09:50,17.55,17.55,17.55,17.55,▽0.10,1
09:49,17.50,17.55,17.50,17.55,▽0.10,2
09:43,17.50,17.50,17.50,17.50,▽0.15,3
09:36,17.50,17.50,17.50,17.50,▽0.15,1
09:35,17.50,17.50,17.50,17.50,▽0.15,7
09:34,17.50,17.50,17.50,17.50,▽0.15,3
