時間,開,高,低,收,漲跌,量(張)
13:30,67.10,67.10,67.10,67.10,▽0.40,5
13:25,67.10,67.10,67.00,67.00,▽0.50,3
13:24,67.20,67.20,67.10,67.10,▽0.40,2
13:20,67.20,67.20,67.20,67.20,▽0.30,1
13:19,67.00,67.00,67.00,67.00,▽0.50,1
13:16,67.00,67.00,67.00,67.00,▽0.50,1
13:13,67.00,67.00,67.00,67.00,▽0.50,1
13:12,67.00,67.00,67.00,67.00,▽0.50,1
13:08,67.00,67.00,67.00,67.00,▽0.50,1
13:02,67.00,67.00,67.00,67.00,▽0.50,1
13:01,67.00,67.00,67.00,67.00,▽0.50,1
12:57,67.10,67.10,67.10,67.10,▽0.40,1
12:53,67.00,67.00,67.00,67.00,▽0.50,16
12:52,67.10,67.10,67.00,67.00,▽0.50,4
12:50,67.20,67.20,67.10,67.10,▽0.40,42
12:48,67.20,67.20,67.20,67.20,▽0.30,1
12:43,67.20,67.20,67.20,67.20,▽0.30,1
12:39,67.30,67.30,67.30,67.30,▽0.20,1
12:36,67.40,67.40,67.40,67.40,▽0.10,1
12:35,67.40,67.40,67.20,67.20,▽0.30,4
12:34,67.30,67.30,67.30,67.30,▽0.20,1
12:30,67.30,67.30,67.30,67.30,▽0.20,2
12:29,67.20,67.20,67.20,67.20,▽0.30,4
12:28,67.30,67.30,67.30,67.30,▽0.20,5
12:27,67.30,67.30,67.30,67.30,▽0.20,1
12:26,67.30,67.30,67.30,67.30,▽0.20,2
12:19,67.30,67.30,67.30,67.30,▽0.20,6
12:18,67.30,67.30,67.30,67.30,▽0.20,1
12:15,67.30,67.30,67.30,67.30,▽0.20,1
12:03,67.30,67.30,67.30,67.30,▽0.20,1
12:02,67.30,67.30,67.30,67.30,▽0.20,7
11:58,67.30,67.30,67.30,67.30,▽0.20,4
11:57,67.30,67.30,67.30,67.30,▽0.20,1
11:55,67.30,67.30,67.30,67.30,▽0.20,2
11:51,67.40,67.40,67.40,67.40,▽0.10,1
11:35,67.40,67.40,67.40,67.40,▽0.10,9
11:33,67.40,67.40,67.40,67.40,▽0.10,2
11:30,67.40,67.40,67.40,67.40,▽0.10,3
11:13,67.40,67.40,67.40,67.40,▽0.10,3
11:12,67.40,67.40,67.40,67.40,▽0.10,1
10:54,67.40,67.40,67.40,67.40,▽0.10,1
10:49,67.50,67.50,67.40,67.40,▽0.10,6
10:42,67.50,67.50,67.50,67.50,0.00,1
10:37,67.40,67.40,67.40,67.40,▽0.10,1
10:31,67.40,67.40,67.40,67.40,▽0.10,7
10:18,67.40,67.40,67.40,67.40,▽0.10,1
10:15,67.50,67.50,67.50,67.50,0.00,1
10:11,67.60,67.60,67.50,67.50,0.00,13
10:10,67.50,67.50,67.50,67.50,0.00,2
10:02,67.50,67.50,67.50,67.50,0.00,1
10:01,67.50,67.50,67.50,67.50,0.00,1
09:59,67.50,67.50,67.50,67.50,0.00,1
09:54,67.60,67.60,67.50,67.50,0.00,2
09:47,67.40,67.40,67.40,67.40,▽0.10,1
09:45,67.50,67.50,67.30,67.30,▽0.20,10
09:30,67.60,67.60,67.60,67.60,△0.10,1
09:29,67.40,67.50,67.40,67.50,0.00,6
09:25,67.40,67.40,67.40,67.40,▽0.10,6
09:22,67.40,67.40,67.40,67.40,▽0.10,2
09:21,67.40,67.40,67.40,67.40,▽0.10,5
09:20,67.40,67.40,67.40,67.40,▽0.10,2
