時間,開,高,低,收,漲跌,量(張)
13:30,70.00,70.00,70.00,70.00,▽1.50,7
13:21,70.10,70.10,70.00,70.00,▽1.50,4
13:14,70.20,70.20,70.20,70.20,▽1.30,1
13:07,70.20,70.20,70.20,70.20,▽1.30,1
13:05,70.20,70.20,70.20,70.20,▽1.30,1
13:02,70.30,70.30,70.30,70.30,▽1.20,1
12:54,70.30,70.30,70.30,70.30,▽1.20,1
12:46,70.30,70.30,70.30,70.30,▽1.20,1
12:41,70.30,70.30,70.30,70.30,▽1.20,1
12:39,70.40,70.40,70.40,70.40,▽1.10,1
12:36,70.30,70.30,70.30,70.30,▽1.20,1
12:28,70.50,70.50,70.50,70.50,▽1.00,1
12:23,70.50,70.50,70.50,70.50,▽1.00,2
12:20,70.50,70.50,70.50,70.50,▽1.00,2
12:18,70.50,70.50,70.50,70.50,▽1.00,4
12:17,70.50,70.60,70.50,70.60,▽0.90,3
12:16,70.50,70.50,70.50,70.50,▽1.00,3
12:15,70.50,70.50,70.50,70.50,▽1.00,2
12:11,70.60,70.60,70.60,70.60,▽0.90,5
12:10,70.50,70.50,70.50,70.50,▽1.00,2
12:04,70.50,70.50,70.50,70.50,▽1.00,1
11:57,70.50,70.50,70.50,70.50,▽1.00,1
11:56,70.50,70.50,70.50,70.50,▽1.00,2
11:55,70.50,70.50,70.40,70.40,▽1.10,2
11:51,70.70,70.70,70.70,70.70,▽0.80,1
11:26,70.80,70.80,70.80,70.80,▽0.70,2
11:24,70.60,70.70,70.60,70.70,▽0.80,6
11:23,70.60,70.60,70.60,70.60,▽0.90,1
11:22,70.50,70.50,70.50,70.50,▽1.00,1
11:18,70.50,70.50,70.50,70.50,▽1.00,5
11:16,70.50,70.50,70.50,70.50,▽1.00,2
11:15,70.50,70.50,70.50,70.50,▽1.00,2
11:13,70.50,70.50,70.50,70.50,▽1.00,3
11:10,70.50,70.50,70.50,70.50,▽1.00,3
10:51,70.00,70.00,70.00,70.00,▽1.50,1
10:49,70.20,70.20,70.20,70.20,▽1.30,1
10:36,70.60,70.60,70.60,70.60,▽0.90,1
10:26,70.70,70.70,70.70,70.70,▽0.80,1
10:25,70.60,70.60,70.60,70.60,▽0.90,4
10:22,70.50,70.50,70.50,70.50,▽1.00,1
10:21,70.50,70.50,70.50,70.50,▽1.00,1
10:17,70.50,70.50,70.50,70.50,▽1.00,1
10:07,70.70,70.70,70.70,70.70,▽0.80,2
09:59,69.40,69.40,69.40,69.40,▽2.10,5
09:58,69.50,69.50,69.50,69.50,▽2.00,2
09:57,70.20,70.20,69.50,69.50,▽2.00,26
09:55,70.40,70.40,70.20,70.20,▽1.30,3
09:54,70.40,70.40,70.40,70.40,▽1.10,1
09:52,70.30,70.30,70.30,70.30,▽1.20,1
09:28,70.90,70.90,70.90,70.90,▽0.60,10
09:19,70.40,71.30,70.40,71.30,▽0.20,2
09:18,70.10,70.10,70.10,70.10,▽1.40,1
09:13,69.70,69.70,69.70,69.70,▽1.80,4
09:12,69.30,69.30,69.30,69.30,▽2.20,4
09:11,71.50,71.50,70.00,70.00,▽1.50,15
09:02,72.00,72.00,72.00,72.00,△0.50,1
09:01,72.00,72.00,72.00,72.00,△0.50,3
