時間,開,高,低,收,漲跌,量(張)
13:23,46.70,46.70,46.70,46.70,▽0.10,1
13:02,46.50,46.50,46.50,46.50,▽0.30,1
13:00,46.50,46.50,46.50,46.50,▽0.30,1
12:58,46.50,46.50,46.50,46.50,▽0.30,2
12:36,46.55,46.55,46.55,46.55,▽0.25,1
12:35,46.60,46.60,46.60,46.60,▽0.20,1
12:28,46.65,46.65,46.65,46.65,▽0.15,4
12:12,46.65,46.65,46.65,46.65,▽0.15,1
12:04,46.65,46.65,46.65,46.65,▽0.15,1
11:57,46.75,46.75,46.75,46.75,▽0.05,1
11:31,46.75,46.75,46.75,46.75,▽0.05,1
11:20,46.65,46.65,46.65,46.65,▽0.15,1
10:47,46.65,46.65,46.65,46.65,▽0.15,3
10:03,46.60,46.60,46.60,46.60,▽0.20,8
09:52,46.40,46.40,46.40,46.40,▽0.40,2
09:50,46.45,46.45,46.45,46.45,▽0.35,2
09:49,46.45,46.45,46.45,46.45,▽0.35,1
09:40,46.50,46.60,46.50,46.60,▽0.20,7
09:36,46.60,46.60,46.60,46.60,▽0.20,2
09:29,46.50,46.50,46.50,46.50,▽0.30,1
09:23,46.50,46.50,46.50,46.50,▽0.30,1
09:22,46.60,46.60,46.60,46.60,▽0.20,1
09:19,46.50,46.50,46.50,46.50,▽0.30,4
09:07,46.55,46.55,46.50,46.50,▽0.30,3
09:01,46.80,46.80,46.80,46.80,0.00,2
