時間,開,高,低,收,漲跌,量(張)
13:30,11.60,11.60,11.60,11.60,▽0.30,16
13:25,11.65,11.65,11.65,11.65,▽0.25,1
13:23,11.65,11.65,11.65,11.65,▽0.25,1
13:21,11.65,11.65,11.65,11.65,▽0.25,1
13:19,11.65,11.65,11.65,11.65,▽0.25,1
13:15,11.65,11.65,11.65,11.65,▽0.25,1
13:11,11.65,11.65,11.65,11.65,▽0.25,5
13:10,11.65,11.65,11.65,11.65,▽0.25,1
12:55,11.70,11.70,11.70,11.70,▽0.20,1
12:50,11.60,11.60,11.60,11.60,▽0.30,1
12:48,11.60,11.60,11.60,11.60,▽0.30,1
12:42,11.70,11.70,11.70,11.70,▽0.20,1
12:36,11.60,11.60,11.60,11.60,▽0.30,1
12:35,11.60,11.65,11.60,11.65,▽0.25,7
12:30,11.70,11.75,11.60,11.75,▽0.15,39
12:17,11.70,11.70,11.70,11.70,▽0.20,2
12:15,11.75,11.75,11.75,11.75,▽0.15,1
12:14,11.70,11.70,11.70,11.70,▽0.20,10
12:11,11.70,11.70,11.70,11.70,▽0.20,1
12:06,11.70,11.70,11.70,11.70,▽0.20,11
11:48,11.75,11.75,11.75,11.75,▽0.15,1
11:46,11.75,11.75,11.75,11.75,▽0.15,2
11:33,11.75,11.75,11.75,11.75,▽0.15,1
11:31,11.75,11.75,11.75,11.75,▽0.15,2
11:30,11.75,11.75,11.75,11.75,▽0.15,1
11:29,11.75,11.75,11.75,11.75,▽0.15,1
11:28,11.80,11.80,11.80,11.80,▽0.10,1
11:24,11.80,11.80,11.80,11.80,▽0.10,1
11:13,11.80,11.80,11.80,11.80,▽0.10,1
10:53,11.80,11.80,11.80,11.80,▽0.10,1
10:52,11.80,11.80,11.80,11.80,▽0.10,1
10:51,11.75,11.75,11.75,11.75,▽0.15,6
10:49,11.80,11.80,11.80,11.80,▽0.10,1
10:46,11.80,11.80,11.80,11.80,▽0.10,1
10:45,11.80,11.80,11.80,11.80,▽0.10,1
10:42,11.80,11.80,11.80,11.80,▽0.10,6
10:40,11.80,11.80,11.80,11.80,▽0.10,5
10:38,11.85,11.85,11.85,11.85,▽0.05,1
10:37,11.80,11.80,11.80,11.80,▽0.10,10
10:22,11.85,11.85,11.85,11.85,▽0.05,2
10:19,11.85,11.85,11.85,11.85,▽0.05,1
10:11,11.85,11.85,11.85,11.85,▽0.05,1
10:06,11.85,11.85,11.85,11.85,▽0.05,10
09:53,11.85,11.85,11.85,11.85,▽0.05,1
09:52,11.85,11.85,11.85,11.85,▽0.05,3
09:31,11.85,11.85,11.80,11.80,▽0.10,20
09:21,11.90,11.90,11.90,11.90,0.00,1
09:19,11.85,11.85,11.85,11.85,▽0.05,9
09:15,11.80,11.90,11.80,11.90,0.00,26
09:02,11.85,11.85,11.85,11.85,▽0.05,1
09:01,11.85,11.85,11.85,11.85,▽0.05,2
