date,stock_id,Trading_Volume,Trading_money,open,close,spread,Trading_turnover,high,low
2015-01-05,6214,3714102,231182824,61.5,61.9,1.1,2518.0,63.0,61.2
2015-01-06,6214,3557116,218995148,61.2,61.2,-0.7,2479.0,62.5,60.2
2015-01-07,6214,2223599,134982354,61.3,60.6,-0.6,1391.0,61.5,59.8
2015-01-08,6214,1774247,108198485,61.3,60.8,0.2,1142.0,61.7,60.6
2015-01-09,6214,3040966,186462224,61.9,60.8,0.0,1910.0,62.3,60.7
2015-01-12,6214,1557289,94718679,61.3,60.5,-0.3,952.0,61.4,60.4
2015-01-13,6214,2949957,175921636,60.8,59.4,-1.1,1853.0,61.0,59.3
2015-01-14,6214,2396597,143919794,59.4,59.8,0.4,1530.0,60.5,59.4
2015-01-15,6214,1033067,61647680,59.9,59.5,-0.3,706.0,60.2,59.3
2015-01-16,6214,2029375,118813550,59.5,57.8,-1.7,1498.0,60.0,57.6
2015-01-19,6214,2136892,126665845,58.8,58.7,0.9,1326.0,60.0,58.5
2015-01-20,6214,1411722,83793866,58.8,59.1,0.4,972.0,59.7,58.8
2015-01-21,6214,949957,55929869,59.2,58.6,-0.5,608.0,59.6,58.6
2015-01-22,6214,850502,50283462,59.0,59.1,0.5,633.0,59.5,58.9
2015-01-23,6214,3491337,210286374,60.0,60.2,1.1,2152.0,60.8,59.7
2015-01-26,6214,1521765,91173557,60.3,59.5,-0.7,1056.0,60.5,59.5
2015-01-27,6214,2058356,121065019,59.6,58.5,-1.0,1387.0,59.9,58.3
2015-01-28,6214,1582595,92183905,58.5,59.0,0.5,921.0,59.0,57.8
2015-01-29,6214,2102612,123648296,59.0,58.3,-0.7,987.0,59.4,58.2
2015-01-30,6214,864416,50355097,58.5,58.0,-0.3,523.0,58.8,58.0
2015-02-02,6214,1021107,58511459,58.0,57.1,-0.9,726.0,58.1,57.0
2015-02-03,6214,1284897,73618365,57.6,57.0,-0.1,937.0,57.8,57.0
2015-02-04,6214,998027,57114128,57.3,57.0,0.0,776.0,57.7,57.0
