時間,開,高,低,收,漲跌,量(張)
13:30,86.10,86.10,86.10,86.10,△0.50,16
13:25,85.80,85.80,85.80,85.80,△0.20,1
13:24,86.00,86.00,86.00,86.00,△0.40,9
13:23,86.00,86.00,86.00,86.00,△0.40,2
13:22,85.90,85.90,85.90,85.90,△0.30,3
13:21,85.90,85.90,85.90,85.90,△0.30,4
13:20,85.90,85.90,85.90,85.90,△0.30,1
13:10,85.80,85.80,85.80,85.80,△0.20,2
13:08,85.80,85.80,85.80,85.80,△0.20,9
13:07,85.80,85.80,85.80,85.80,△0.20,12
13:04,85.70,85.70,85.70,85.70,△0.10,6
13:02,85.60,85.60,85.60,85.60,0.00,2
13:01,85.60,85.60,85.60,85.60,0.00,1
13:00,85.60,85.60,85.60,85.60,0.00,1
12:59,85.60,85.60,85.60,85.60,0.00,1
12:58,85.60,85.60,85.60,85.60,0.00,1
12:57,85.60,85.60,85.60,85.60,0.00,2
12:56,85.70,85.70,85.60,85.60,0.00,2
12:54,85.60,85.60,85.60,85.60,0.00,4
12:53,85.60,85.60,85.60,85.60,0.00,1
12:52,85.60,85.60,85.60,85.60,0.00,1
12:50,85.60,85.60,85.60,85.60,0.00,4
12:49,85.60,85.60,85.60,85.60,0.00,1
12:47,85.60,85.60,85.60,85.60,0.00,1
12:45,85.50,85.50,85.50,85.50,▽0.10,1
12:44,85.50,85.60,85.50,85.50,▽0.10,4
12:43,85.60,85.60,85.60,85.60,0.00,1
12:40,85.50,85.70,85.50,85.70,△0.10,8
12:39,85.50,85.50,85.50,85.50,▽0.10,1
12:38,85.60,85.60,85.60,85.60,0.00,5
12:37,85.60,85.60,85.60,85.60,0.00,2
12:35,85.70,85.70,85.70,85.70,△0.10,5
12:33,85.80,85.80,85.80,85.80,△0.20,3
12:32,85.70,85.70,85.60,85.60,0.00,9
12:31,85.80,85.80,85.80,85.80,△0.20,21
12:30,85.80,85.80,85.80,85.80,△0.20,3
12:29,85.80,85.90,85.80,85.90,△0.30,16
12:27,85.90,85.90,85.90,85.90,△0.30,2
12:26,85.90,85.90,85.90,85.90,△0.30,4
12:25,85.90,85.90,85.90,85.90,△0.30,1
12:23,85.90,85.90,85.90,85.90,△0.30,1
12:22,86.00,86.00,86.00,86.00,△0.40,2
12:21,86.00,86.00,86.00,86.00,△0.40,7
12:20,86.00,86.00,86.00,86.00,△0.40,2
12:17,86.10,86.10,86.10,86.10,△0.50,5
12:15,86.10,86.10,86.10,86.10,△0.50,1
12:14,86.10,86.20,86.10,86.10,△0.50,12
12:12,86.00,86.00,86.00,86.00,△0.40,1
12:08,86.00,86.00,86.00,86.00,△0.40,2
12:04,86.00,86.00,86.00,86.00,△0.40,1
12:02,85.90,85.90,85.90,85.90,△0.30,1
12:01,86.00,86.00,86.00,86.00,△0.40,3
12:00,86.00,86.00,86.00,86.00,△0.40,2
11:59,86.00,86.10,86.00,86.10,△0.50,4
11:58,86.00,86.00,86.00,86.00,△0.40,3
11:56,86.00,86.00,86.00,86.00,△0.40,1
11:55,86.00,86.00,86.00,86.00,△0.40,4
11:54,86.00,86.00,86.00,86.00,△0.40,1
11:50,86.10,86.10,86.10,86.10,△0.50,3
11:49,86.10,86.10,86.10,86.10,△0.50,1
11:47,86.10,86.10,86.10,86.10,△0.50,2
