date,stock_id,Trading_Volume,Trading_money,open,close,spread,Trading_turnover,high,low
2015-01-05,2471,93010,1468963,15.5,16.0,0.4,47.0,16.0,15.3
2015-01-06,2471,92450,1451393,15.9,15.7,-0.3,50.0,15.95,15.55
2015-01-07,2471,15093,235169,15.55,15.6,-0.1,15.0,15.65,15.55
2015-01-08,2471,292066,4704670,15.9,16.1,0.5,152.0,16.3,15.85
2015-01-09,2471,153029,2465472,16.2,16.05,-0.05,79.0,16.2,16.0
2015-01-12,2471,326529,5371395,16.45,16.35,0.3,154.0,16.55,16.3
2015-01-13,2471,72012,1175592,16.35,16.3,-0.05,59.0,16.5,16.2
2015-01-14,2471,86007,1410362,16.3,16.35,0.05,56.0,16.5,16.3
2015-01-15,2471,84004,1378264,16.4,16.3,-0.05,48.0,16.6,16.25
2015-01-16,2471,26100,423489,16.5,16.15,-0.15,29.0,16.5,16.15
2015-01-19,2471,102367,1682609,16.35,16.4,0.25,57.0,16.55,16.3
2015-01-20,2471,51001,833116,16.2,16.35,-0.05,18.0,16.45,16.2
2015-01-21,2471,339011,5650276,16.4,16.75,0.4,196.0,17.0,16.3
2015-01-22,2471,823353,14059656,17.2,16.9,0.15,421.0,17.5,16.75
2015-01-23,2471,138101,2327021,17.0,16.7,-0.2,86.0,17.15,16.65
2015-01-26,2471,112005,1870330,16.65,16.65,-0.05,56.0,16.8,16.6
2015-01-27,2471,181023,2972475,16.85,16.4,-0.25,91.0,16.85,16.25
2015-01-28,2471,77003,1257148,16.3,16.35,-0.05,46.0,16.4,16.25
2015-01-29,2471,110014,1783675,16.35,16.15,-0.2,48.0,16.35,16.05
2015-01-30,2471,138003,2215948,16.2,16.15,0.0,48.0,16.2,16.0
2015-02-02,2471,185522,2969568,16.05,16.0,-0.15,64.0,16.2,15.85
2015-02-03,2471,27001,432116,16.0,16.0,0.0,20.0,16.05,16.0
2015-02-04,2471,88002,1398930,16.0,15.85,-0.15,46.0,16.0,15.85
2015-02-05,2471,24101,384440,15.95,15.9,0.05,26.0,16.0,15.9
2015-02-06,2471,81013,1285008,15.85,16.0,0.1,45.0,16.0,15.7
2015-02-09,2471,20050,320235,16.15,15.9,-0.1,19.0,16.15,15.9
2015-02-10,2471,33006,525990,15.9,15.95,0.05,26.0,16.0,15.9
2015-02-11,2471,84049,1318192,15.75,15.6,-0.35,93.0,15.9,15.55
2015-02-12,2471,85042,1315100,15.6,15.45,-0.15,41.0,15.75,15.35
2015-02-13,2471,66005,1026575,15.5,15.5,0.05,49.0,15.6,15.5
2015-02-24,2471,66252,1021863,15.25,15.5,0.0,49.0,15.55,15.25
2015-02-25,2471,40010,623600,15.5,15.55,0.05,27.0,15.65,15.5
2015-02-26,2471,42012,660980,15.65,15.75,0.2,37.0,15.85,15.6
2015-03-02,2471,67242,1049438,15.75,15.55,-0.2,59.0,15.75,15.55
2015-03-03,2471,49012,765480,15.6,15.6,0.05,39.0,15.7,15.55
2015-03-04,2471,88025,1369481,15.5,15.55,-0.05,45.0,15.6,15.5
2015-03-05,2471,11336,176285,15.5,15.55,0.0,22.0,15.7,15.5
2015-03-06,2471,14032,218886,15.5,15.65,0.1,36.0,15.65,15.5
2015-03-09,2471,25026,390390,15.9,15.55,-0.1,45.0,15.9,15.5
2015-03-10,2471,53017,827605,15.8,15.65,0.1,41.0,15.8,15.55
2015-03-11,2471,127025,1947225,15.4,15.45,-0.2,88.0,15.45,15.25
2015-03-12,2471,38750,600783,15.55,15.5,0.05,40.0,15.55,15.45
2015-03-13,2471,72017,1113455,15.5,15.4,-0.1,47.0,15.5,15.4
2015-03-16,2471,51740,809262,15.5,15.6,0.2,61.0,15.75,15.5
2015-03-17,2471,203010,3204560,15.75,15.85,0.25,97.0,16.0,15.55
2015-03-18,2471,49006,767140,15.85,15.6,-0.25,30.0,15.85,15.55
2015-03-19,2471,61028,954025,15.6,15.75,0.15,43.0,15.75,15.6
2015-03-20,2471,94118,1488589,15.7,15.8,0.05,60.0,15.9,15.7
2015-03-23,2471,89028,1407571,15.75,15.7,-0.1,54.0,15.9,15.7
