時間,開,高,低,收,漲跌,量(張)
13:30,101.00,101.00,101.00,101.00,▽1.00,5
13:21,101.50,101.50,101.50,101.50,▽0.50,4
13:19,101.50,101.50,101.00,101.00,▽1.00,11
13:18,101.50,101.50,101.50,101.50,▽0.50,3
13:17,101.50,101.50,101.50,101.50,▽0.50,1
13:16,101.50,101.50,101.50,101.50,▽0.50,1
13:10,101.50,101.50,101.50,101.50,▽0.50,1
13:09,101.50,101.50,101.50,101.50,▽0.50,1
13:07,101.50,101.50,101.50,101.50,▽0.50,1
13:05,101.50,101.50,101.50,101.50,▽0.50,2
12:44,101.50,101.50,101.50,101.50,▽0.50,4
12:39,101.50,101.50,101.50,101.50,▽0.50,2
12:37,101.50,101.50,101.50,101.50,▽0.50,3
12:35,101.50,101.50,101.50,101.50,▽0.50,1
12:34,101.50,101.50,101.50,101.50,▽0.50,3
12:33,101.50,101.50,101.50,101.50,▽0.50,1
12:32,101.50,101.50,101.50,101.50,▽0.50,1
12:29,101.50,102.00,101.50,102.00,0.00,7
12:28,101.50,101.50,101.50,101.50,▽0.50,8
12:27,101.50,101.50,101.50,101.50,▽0.50,2
12:26,102.00,102.00,101.50,101.50,▽0.50,4
12:16,102.00,102.00,102.00,102.00,0.00,1
12:09,101.50,101.50,101.50,101.50,▽0.50,1
12:02,102.00,102.00,102.00,102.00,0.00,1
11:56,101.50,101.50,101.50,101.50,▽0.50,1
11:45,101.50,101.50,101.50,101.50,▽0.50,1
11:37,101.50,101.50,101.50,101.50,▽0.50,1
11:35,101.50,101.50,101.50,101.50,▽0.50,2
11:25,101.50,102.00,101.50,102.00,0.00,8
11:24,101.50,101.50,101.50,101.50,▽0.50,5
11:23,101.50,101.50,101.50,101.50,▽0.50,5
11:15,101.50,102.00,101.50,102.00,0.00,3
10:59,101.50,101.50,101.50,101.50,▽0.50,1
10:57,101.50,101.50,101.50,101.50,▽0.50,4
10:50,102.00,102.00,102.00,102.00,0.00,1
10:42,102.00,102.00,102.00,102.00,0.00,2
10:33,102.00,102.00,102.00,102.00,0.00,1
10:21,101.50,102.00,101.50,102.00,0.00,2
10:11,102.00,102.00,102.00,102.00,0.00,1
10:06,102.00,102.00,102.00,102.00,0.00,1
10:04,102.00,102.00,102.00,102.00,0.00,2
09:55,102.00,102.00,102.00,102.00,0.00,4
09:54,102.00,102.00,102.00,102.00,0.00,1
09:46,102.00,102.00,102.00,102.00,0.00,1
09:42,102.00,102.00,101.50,101.50,▽0.50,6
09:40,101.50,101.50,101.50,101.50,▽0.50,3
09:37,101.50,101.50,101.50,101.50,▽0.50,3
09:32,101.50,101.50,101.50,101.50,▽0.50,1
09:30,102.00,102.00,102.00,102.00,0.00,2
09:29,101.50,101.50,101.50,101.50,▽0.50,1
09:04,101.50,101.50,101.50,101.50,▽0.50,1
09:03,102.00,102.00,102.00,102.00,0.00,1
09:00,101.50,101.50,101.50,101.50,▽0.50,1
