date,stock_id,Trading_Volume,Trading_money,open,close,spread,Trading_turnover,high,low
2015-01-05,6183,114069,3208432,27.75,28.0,0.05,59.0,28.6,27.7
2015-01-06,6183,34955,977000,28.0,27.9,-0.1,25.0,28.25,27.85
2015-01-07,6183,33000,921900,27.9,27.95,0.05,24.0,28.0,27.8
2015-01-08,6183,122000,3432400,27.95,28.1,0.15,40.0,28.3,27.95
2015-01-09,6183,140185,3992793,28.95,28.35,0.25,83.0,28.95,28.3
2015-01-12,6183,40200,1133070,28.35,28.1,-0.25,36.0,28.35,28.1
2015-01-13,6183,86010,2419229,28.1,28.1,0.0,38.0,28.2,28.0
2015-01-14,6183,146000,4061700,28.1,27.65,-0.45,70.0,28.1,27.6
2015-01-15,6183,192000,5276400,27.6,27.45,-0.2,87.0,27.75,27.2
2015-01-16,6183,73758,2006926,27.4,27.15,-0.3,48.0,27.4,27.15
2015-01-19,6183,58273,1604625,27.8,27.55,0.4,41.0,27.8,27.3
2015-01-20,6183,53000,1464700,27.55,27.7,0.15,31.0,27.75,27.5
2015-01-21,6183,28010,774126,27.7,27.8,0.1,19.0,27.8,27.5
2015-01-22,6183,122000,3410750,27.8,27.9,0.1,53.0,28.2,27.65
2015-01-23,6183,19000,528300,27.9,27.95,0.05,13.0,27.95,27.7
2015-01-26,6183,101140,2793700,28.0,27.35,-0.6,52.0,28.0,27.3
2015-01-27,6183,40000,1099350,27.5,27.55,0.2,16.0,27.6,27.4
2015-01-28,6183,10000,276400,27.55,27.7,0.15,9.0,27.7,27.5
2015-01-29,6183,134290,3658616,27.5,27.3,-0.4,69.0,27.5,27.0
2015-01-30,6183,9000,246900,27.3,27.5,0.2,8.0,27.55,27.3
2015-02-02,6183,37098,1007664,27.5,27.2,-0.3,23.0,27.5,27.1
2015-02-03,6183,23100,630350,27.25,27.25,0.05,19.0,27.4,27.25
2015-02-04,6183,46000,1260250,27.35,27.45,0.2,18.0,27.45,27.35
2015-02-05,6183,13010,354173,27.0,27.35,-0.1,12.0,27.5,27.0
2015-02-06,6183,30010,817874,27.25,27.4,0.05,19.0,27.4,27.15
2015-02-09,6183,12020,328896,27.3,27.3,-0.1,11.0,27.5,27.3
2015-02-10,6183,139300,3879374,27.3,27.5,0.2,82.0,28.2,27.3
2015-02-11,6183,32143,887217,27.6,27.6,0.1,30.0,27.65,27.6
2015-02-12,6183,10285,282180,27.5,27.4,-0.2,9.0,27.5,27.4
2015-02-13,6183,104166,2824081,27.1,27.3,-0.1,52.0,27.45,27.0
2015-02-24,6183,97241,2663877,27.2,27.25,-0.05,40.0,27.7,27.2
2015-02-25,6183,45259,1236222,27.45,27.2,-0.05,23.0,27.5,27.2
2015-02-26,6183,71000,1941700,27.5,27.3,0.1,29.0,27.55,27.2
2015-03-02,6183,35069,955563,27.45,27.2,-0.1,25.0,27.45,27.2
2015-03-03,6183,75389,2057229,27.3,27.25,0.05,38.0,27.45,27.2
2015-03-04,6183,26758,730341,27.25,27.3,0.05,18.0,27.35,27.25
2015-03-05,6183,133400,3691089,27.4,27.8,0.5,67.0,27.95,27.4
2015-03-06,6183,79434,2194365,27.8,27.55,-0.25,39.0,27.95,27.4
2015-03-09,6183,37166,1018764,27.55,27.35,-0.2,17.0,27.55,27.35
2015-03-10,6183,80423,2201555,27.35,27.35,0.0,21.0,27.5,27.35
2015-03-11,6183,82290,2250417,27.3,27.4,0.05,22.0,27.45,27.3
2015-03-12,6183,78010,2130523,27.3,27.35,-0.05,28.0,27.4,27.25
2015-03-13,6183,45228,1237180,27.35,27.3,-0.05,25.0,27.5,27.3
2015-03-16,6183,53013,1448505,27.3,27.35,0.05,19.0,27.4,27.25
2015-03-17,6183,125301,3427612,27.35,27.35,0.0,25.0,27.4,27.3
2015-03-18,6183,115000,3149050,27.4,27.35,0.0,31.0,27.45,27.35
2015-03-19,6183,93360,2566463,27.35,27.55,0.2,39.0,27.6,27.35
2015-03-20,6183,77000,2113900,27.65,27.4,-0.15,27.0,27.65,27.35
2015-03-23,6183,239001,6490777,27.45,27.1,-0.3,84.0,27.45,27.0
2015-03-24,6183,155103,4219521,27.1,27.6,0.5,56.0,27.6,27.0
2015-03-25,6183,37031,1014751,27.6,27.5,-0.1,28.0,27.6,27.25
2015-03-26,6183,49000,1349250,27.3,27.6,0.1,26.0,27.6,27.3
2015-03-27,6183,126000,3460300,27.35,27.55,-0.05,62.0,27.55,27.35
2015-03-30,6183,117000,3200200,27.5,27.35,-0.2,46.0,27.5,27.15
2015-03-31,6183,58010,1591521,27.4,27.4,0.05,14.0,27.5,27.4
2015-04-01,6183,82476,2247497,27.35,27.3,-0.1,44.0,27.4,27.1
2015-04-02,6183,33873,925839,27.3,27.35,0.05,24.0,27.4,27.3
2015-04-07,6183,48002,1313954,27.35,27.35,0.0,22.0,27.5,27.3
2015-04-08,6183,46398,1266754,27.35,27.3,-0.05,29.0,27.35,27.2
2015-04-09,6183,67147,1830934,27.45,27.25,-0.05,30.0,27.45,27.2
2015-04-10,6183,110490,3005777,27.25,27.4,0.15,33.0,27.4,27.15
2015-04-13,6183,41010,1113872,27.2,27.2,-0.2,20.0,27.2,27.1
2015-04-14,6183,41000,1117600,27.25,27.2,0.0,20.0,27.35,27.15
2015-04-15,6183,55000,1498150,27.3,27.2,0.0,29.0,27.35,27.2
2015-04-16,6183,73000,1980800,27.2,27.05,-0.15,49.0,27.25,27.05
2015-04-17,6183,50344,1366122,27.1,27.1,0.05,31.0,27.2,27.05
2015-04-20,6183,19012,516278,27.3,27.1,0.0,17.0,27.3,27.1
2015-04-21,6183,46517,1256503,27.1,26.9,-0.2,27.0,27.25,26.85
