open,close,Trading_turnover,high,low
13.2,13.14,187.69,13.33,13.04
13.23,13.17,189.83,13.36,13.07
13.29,13.22,193.78,13.42,13.13
13.31,13.24,195.1,13.43,13.14
13.32,13.25,196.31,13.45,13.16
13.33,13.26,196.9,13.46,13.17
13.33,13.26,197.15,13.46,13.17
13.33,13.27,197.28,13.46,13.17
13.33,13.27,197.25,13.46,13.17
13.33,13.26,197.12,13.46,13.17
13.33,13.26,196.81,13.45,13.16
13.32,13.26,196.59,13.45,13.16
13.32,13.25,196.45,13.45,13.16
13.32,13.25,196.29,13.45,13.16
13.32,13.25,196.18,13.45,13.15
13.32,13.25,196.07,13.44,13.15
13.32,13.25,195.99,13.44,13.15
13.32,13.25,195.91,13.44,13.15
13.31,13.25,195.84,13.44,13.15
13.31,13.25,195.78,13.44,13.15
13.31,13.25,195.73,13.44,13.15
13.31,13.24,195.69,13.44,13.15
13.31,13.24,195.65,13.44,13.15
13.31,13.24,195.62,13.44,13.15
13.31,13.24,195.6,13.44,13.15
13.31,13.24,195.57,13.44,13.15
13.31,13.24,195.55,13.44,13.15
13.31,13.24,195.54,13.44,13.15
13.31,13.24,195.52,13.44,13.15
13.31,13.24,195.51,13.44,13.15
