open,close,Trading_turnover,high,low
13.67,13.59,221.85,13.8,13.5
13.67,13.59,221.68,13.8,13.5
13.64,13.55,219.3,13.76,13.46
13.61,13.53,217.42,13.74,13.44
13.58,13.5,215.52,13.71,13.41
13.56,13.48,213.58,13.68,13.39
13.53,13.45,211.76,13.66,13.36
13.51,13.43,209.91,13.63,13.34
13.48,13.41,208.11,13.61,13.31
13.46,13.38,206.34,13.58,13.29
13.43,13.36,204.69,13.56,13.27
13.42,13.34,203.32,13.54,13.25
13.4,13.33,202.21,13.53,13.23
13.39,13.32,201.25,13.51,13.22
13.38,13.31,200.43,13.5,13.21
13.37,13.3,199.73,13.49,13.2
13.36,13.29,199.13,13.49,13.19
13.35,13.28,198.6,13.48,13.19
13.35,13.28,198.15,13.47,13.18
13.34,13.27,197.76,13.47,13.18
13.34,13.27,197.43,13.46,13.17
13.33,13.26,197.14,13.46,13.17
13.33,13.26,196.9,13.46,13.16
13.33,13.26,196.69,13.45,13.16
13.32,13.26,196.51,13.45,13.16
13.32,13.25,196.36,13.45,13.16
13.32,13.25,196.23,13.45,13.15
13.32,13.25,196.11,13.44,13.15
13.32,13.25,196.02,13.44,13.15
13.32,13.25,195.93,13.44,13.15
