open,close,Trading_turnover,high,low
13.7,13.61,223.8,13.83,13.53
13.69,13.6,223.03,13.82,13.51
13.65,13.57,220.58,13.78,13.48
13.63,13.54,218.58,13.75,13.45
13.6,13.52,216.48,13.72,13.42
13.57,13.49,214.52,13.7,13.4
13.54,13.46,212.6,13.67,13.37
13.52,13.44,210.68,13.64,13.35
13.49,13.41,208.76,13.62,13.32
13.46,13.39,206.89,13.59,13.3
13.44,13.37,205.16,13.57,13.27
13.42,13.35,203.72,13.55,13.25
13.41,13.33,202.56,13.53,13.24
13.39,13.32,201.54,13.52,13.22
13.38,13.31,200.69,13.51,13.21
13.37,13.3,199.95,13.5,13.2
13.36,13.29,199.32,13.49,13.2
13.35,13.28,198.76,13.48,13.19
13.35,13.28,198.29,13.47,13.18
13.34,13.27,197.88,13.47,13.18
13.34,13.27,197.53,13.46,13.17
13.33,13.26,197.23,13.46,13.17
13.33,13.26,196.98,13.46,13.16
13.33,13.26,196.76,13.45,13.16
13.32,13.26,196.57,13.45,13.16
13.32,13.25,196.41,13.45,13.16
13.32,13.25,196.27,13.45,13.16
13.32,13.25,196.15,13.45,13.15
13.32,13.25,196.05,13.44,13.15
13.32,13.25,195.96,13.44,13.15
