年季,稅前淨利,營業現金流量,投資現金流量,籌資現金流量,淨現金流量,自由現金流量
2020Q3,183871000.0,-59705000.0,-30870000.0,-410498000.0,-501073000.0,-119738000.0
2020Q2,205691000.0,457216000.0,-101637000.0,-152338000.0,203241000.0,395911000.0
2020Q1,155952000.0,-114751000.0,-7076000.0,349756000.0,227929000.0,-117873000.0
2019Q4,129774000.0,20379000.0,-1266000.0,9422000.0,28535000.0,18378000.0
2019Q3,149694000.0,-116297000.0,-7908000.0,304023000.0,179818000.0,-252969000.0
2019Q2,133651000.0,-185418000.0,-9026000.0,298313000.0,103869000.0,-200898000.0
2019Q1,104345000.0,-168572000.0,-153368000.0,132839000.0,-189101000.0,-297846000.0
2018Q4,124736000.0,459098000.0,-9172000.0,-273723000.0,176203000.0,444380000.0
2018Q3,110947000.0,-131415000.0,-19415000.0,57279000.0,-93551000.0,-180614000.0
2018Q2,100089000.0,-132568000.0,-20780000.0,166553000.0,13205000.0,-196673000.0
2018Q1,109320000.0,-144446000.0,-15023000.0,195547000.0,36078000.0,-157793000.0
2017Q4,109291000.0,321135000.0,-275746000.0,69137000.0,114526000.0,-72501000.0
2017Q3,87052000.0,242688000.0,-104698000.0,-197535000.0,-59545000.0,212582000.0
2017Q2,89365000.0,219896000.0,5023000.0,-479000000.0,-254081000.0,191231000.0
2017Q1,75012000.0,-3133000.0,4975000.0,431000000.0,432842000.0,-7153000.0
2016Q4,72164000.0,562004000.0,9587000.0,-674000000.0,-102409000.0,556850000.0
2016Q3,73660000.0,38329000.0,3399000.0,-37978000.0,3750000.0,8654000.0
2016Q2,82831000.0,-638278000.0,-2025000.0,430648000.0,-209655000.0,-670735000.0
2016Q1,70758000.0,-252436000.0,859000.0,362104000.0,110527000.0,-256523000.0
2015Q4,58572000.0,522491000.0,-1920000.0,-362062000.0,158509000.0,518352000.0
2015Q3,72868000.0,142444000.0,6716000.0,-97263000.0,51897000.0,113479000.0
2015Q2,82802000.0,-315355000.0,905000.0,172246000.0,-142204000.0,-348601000.0
2015Q1,69633000.0,-38885000.0,531000.0,17827000.0,-20527000.0,-43763000.0
2014Q4,66422000.0,415737000.0,-6553000.0,-260258000.0,148926000.0,407065000.0
2014Q3,72738000.0,119197000.0,-5938000.0,-72038000.0,41221000.0,92173000.0
2014Q2,78198000.0,-9296000.0,-176000.0,-24502000.0,-33974000.0,-39880000.0
2014Q1,66055000.0,-131025000.0,-7690000.0,198818000.0,60103000.0,-135931000.0
2013Q4,55992000.0,177445000.0,-8974000.0,-174583000.0,-6112000.0,174134000.0
2013Q3,64020000.0,146352000.0,5232000.0,-159320000.0,-7736000.0,120161000.0
2013Q2,69424000.0,-275064000.0,33088000.0,289669000.0,47693000.0,-304286000.0
2013Q1,63279000.0,-167956000.0,-1360000.0,38149000.0,-131167000.0,-171135000.0
