年季,營業利益YOY,毛利YOY,稅後淨利YOY
2020Q3,94.53,59.88,88.36
2020Q2,-20.64,-3.78,-19.82
2020Q1,17.05,7.24,-7.82
2019Q4,48.5,11.7,44.6
2019Q3,-19.25,-14.51,-17.44
2019Q2,40.89,16.44,40.59
2019Q1,-28.75,-7.48,-25.95
2018Q4,30.04,9.55,22.64
2018Q3,21.45,17.82,12.03
2018Q2,-21.62,-9.9,-26.37
2018Q1,53.28,14.57,56.5
2017Q4,-2.8,12.28,-3.63
2017Q3,30.74,18.34,37.32
2017Q2,43.4,16.98,47.3
2017Q1,9.45,5.07,4.79
2016Q4,,33.56,
2016Q3,-4.72,-6.87,-10.1
2016Q2,-17.95,-5.85,-16.64
2016Q1,-14.47,-0.12,-13.58
2015Q4,,-16.09,
2015Q3,14.92,9.98,15.16
2015Q2,-11.7,-7.33,-13.38
2015Q1,43.93,8.61,41.87
2014Q4,-13.8,-3.86,0.37
2014Q3,-10.08,-4.81,-7.9
2014Q2,-4.59,-1.3,-2.91
2014Q1,8.14,8.23,33.22
2013Q4,0.0,0.0,0.0
2013Q3,0.0,0.0,0.0
2013Q2,0.0,0.0,0.0
2013Q1,0.0,0.0,0.0
