年,本期淨利(淨損),可分配盈餘,盈餘分配之現金股利(元/股),股東配發之現金(股利)總金額,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),股東配股總張數
2018/12/31,282207001.0,385823702.0,8.51,282461367.0,0.0,0.0,0
2017/12/31,318123392.0,419776585.0,9.6,318649920.0,0.0,0.0,0
2010/12/31,261328284.0,307292675.0,6.0,203996400.0,0.0,0.0,0
2009/12/31,171541831.0,226334719.0,4.57,154237500.0,0.0,0.0,0
2008/12/31,238327645.0,214709571.0,4.23,142762500.0,0.0,0.0,0
2015/12/31,329654895.0,371972271.0,8.0,264989600.0,0.0,0.0,0
2019/12/31,286000709.0,383017395.0,8.62,286103834.0,0.0,0.0,0
2012/12/31,170855370.0,258334435.0,4.54,147708864.0,0.0,0.0,0
2016/12/31,398368327.0,466599604.0,10.8,358837560.0,0.0,0.0,0
2013/12/31,241422696.0,227638854.0,6.0,197990896.0,0.0,0.0,0
