年季,營業利益YOY,毛利YOY,稅後淨利YOY
2020Q3,69.22,24.14,37.09
2020Q2,-9.31,1.53,-42.74
2020Q1,180.98,30.85,102.12
2019Q4,127.82,31.78,17.13
2019Q3,25.63,4.03,20.16
2019Q2,-19.11,-0.84,-27.27
2019Q1,61.21,14.19,91.05
2018Q4,-24.85,-10.0,-4.86
2018Q3,34.05,15.61,38.39
2018Q2,42.19,12.26,51.96
2018Q1,-66.45,-13.06,-40.63
2017Q4,-37.62,-7.66,-27.43
2017Q3,14.82,1.66,27.69
2017Q2,-52.37,-20.66,-33.84
2017Q1,12.1,-0.06,-12.09
2016Q4,-38.32,-20.55,-32.31
2016Q3,2.93,-4.15,-48.88
2016Q2,40.98,12.45,10.33
2016Q1,38.03,6.37,16.68
2015Q4,29.58,22.27,1.92
2015Q3,-6.68,3.64,17.45
2015Q2,,39.56,
2015Q1,-13.82,-5.57,-23.04
2014Q4,32.69,9.3,-9.33
2014Q3,727.66,18.27,438.37
2014Q2,,-16.94,
2014Q1,,29.87,6494.17
2013Q4,0.0,0.0,0.0
2013Q3,0.0,0.0,0.0
2013Q2,0.0,0.0,0.0
2013Q1,0.0,0.0,0.0
