年季,流動比率,速動比率,利息保障倍數
2020Q3,204.64,157.18,61.12
2020Q2,179.99,142.69,121.51
2020Q1,212.48,167.5,14.82
2019Q4,195.14,154.14,130.35
2019Q3,209.09,167.89,33.01
2019Q2,190.0,146.7,50.51
2019Q1,237.35,188.99,62.28
2018Q4,216.6,172.02,17.32
2018Q3,231.54,187.17,22.26
2018Q2,210.25,170.5,77.16
2018Q1,264.68,214.44,48.16
2017Q4,219.04,176.02,31.13
2017Q3,226.01,182.32,36.25
2017Q2,209.35,167.21,48.42
2017Q1,276.24,226.19,61.02
2016Q4,251.69,211.75,40.29
2016Q3,242.13,199.8,83.17
2016Q2,209.59,169.97,39.12
2016Q1,282.27,238.94,26.94
2015Q4,259.4,221.71,100.39
2015Q3,276.7,232.16,-10.04
2015Q2,235.99,201.5,59.43
2015Q1,316.23,271.77,57.41
2014Q4,281.7,241.09,185.42
2014Q3,297.04,250.09,46.56
2014Q2,263.71,228.67,115.6
2014Q1,317.39,280.56,43.49
2013Q4,262.49,226.44,60.35
2013Q3,276.3,234.17,48.36
2013Q2,257.37,221.86,56.43
2013Q1,296.41,250.92,43.73
