年季,流動比率,速動比率,利息保障倍數
2020Q3,144.84,60.91,22.33
2020Q2,137.01,63.2,17.98
2020Q1,134.93,69.58,3.42
2019Q4,136.28,74.75,15.2
2019Q3,130.83,67.75,13.51
2019Q2,130.27,73.73,10.13
2019Q1,137.05,73.86,4.63
2018Q4,145.2,74.89,26.55
2018Q3,140.71,78.13,7.11
2018Q2,141.38,88.46,8.23
2018Q1,152.07,104.33,3.59
2017Q4,145.97,92.43,2.19
2017Q3,139.08,75.89,10.63
2017Q2,150.35,82.56,9.45
2017Q1,157.98,88.42,6.4
2016Q4,164.5,94.4,5.27
2016Q3,160.39,76.23,7.65
2016Q2,167.89,83.93,6.56
2016Q1,170.4,86.17,5.34
2015Q4,171.5,97.88,8.25
2015Q3,202.96,97.41,24.01
2015Q2,229.55,128.08,9.66
2015Q1,237.68,134.82,-10.44
2014Q4,263.53,145.7,18.63
2014Q3,281.33,131.52,33.29
2014Q2,286.17,165.08,45.27
2014Q1,328.18,190.77,0.0
2013Q4,254.68,149.78,-44.05
2013Q3,324.41,184.76,-399.35
2013Q2,320.69,180.73,4.6
2013Q1,312.48,174.63,3.39
