年季,營業利益YOY,毛利YOY,稅後淨利YOY
2020Q3,-9.22,-18.48,-6.27
2020Q2,22.56,9.21,-13.58
2020Q1,-38.19,-10.31,-40.09
2019Q4,,122.92,
2019Q3,,223.82,
2019Q2,,104.28,
2019Q1,,178.66,
2018Q4,,44.6,
2018Q3,,-3.32,
2018Q2,,-4.54,
2018Q1,,-17.81,
2017Q4,,-33.54,
2017Q3,,7.92,
2017Q2,,-15.5,
2017Q1,,-23.9,
2016Q4,,-17.92,
2016Q3,,-47.06,
2016Q2,,-12.32,
2016Q1,,-8.25,
2015Q4,-92.09,-23.65,-94.5
2015Q3,-59.01,-16.34,-54.78
2015Q2,,-1.28,
2015Q1,-70.25,-22.12,-81.25
2014Q4,-57.53,-12.65,-61.15
2014Q3,101.99,40.63,92.38
2014Q2,78.11,38.4,90.57
2014Q1,188.14,63.21,203.66
2013Q4,0.0,0.0,0.0
2013Q3,0.0,0.0,0.0
2013Q2,0.0,0.0,0.0
2013Q1,0.0,0.0,0.0
