年季,營業收入,毛利率,營業利益率,稅前純益率,稅後純益率
2020Q3,5568660000.0,24.23,3.1,9.67,9.06
2020Q2,5865579000.0,25.21,4.6,14.15,12.99
2020Q1,5758360000.0,23.05,4.81,1.86,1.04
2019Q4,6013028000.0,25.56,-0.89,17.3,13.33
2019Q3,5671486000.0,23.46,2.98,5.77,5.04
2019Q2,5425865000.0,26.21,4.63,7.59,6.2
2019Q1,4940644000.0,25.51,4.87,8.58,7.78
2018Q4,5531566000.0,25.65,2.77,2.3,1.62
2018Q3,5001312000.0,24.6,2.76,2.96,2.14
2018Q2,4838926000.0,26.66,4.71,12.1,10.76
2018Q1,4144185000.0,26.42,4.06,9.18,8.06
2017Q4,4781129000.0,26.48,3.02,6.86,6.09
2017Q3,4304834000.0,25.87,2.54,8.14,7.24
2017Q2,4082965000.0,27.89,4.07,6.5,5.93
2017Q1,3705351000.0,27.41,3.22,9.62,8.99
2016Q4,4612474000.0,27.16,1.98,6.48,4.09
2016Q3,3892177000.0,25.31,-0.47,16.46,16.84
2016Q2,3982078000.0,28.17,3.69,4.88,4.26
2016Q1,3723651000.0,26.12,1.59,3.01,2.54
2015Q4,4746805000.0,26.83,3.3,7.06,6.1
2015Q3,3856385000.0,26.2,1.85,-1.2,-1.61
2015Q2,3922832000.0,27.1,3.0,6.02,4.59
2015Q1,3787066000.0,25.18,1.95,4.76,4.14
2014Q4,4487265000.0,26.26,2.04,8.23,7.33
2014Q3,3791469000.0,27.13,2.87,1.86,1.14
2014Q2,3563233000.0,28.71,3.09,7.22,4.8
2014Q1,3967354000.0,24.92,3.15,5.76,5.08
2013Q4,4709478000.0,26.89,3.9,6.81,6.15
2013Q3,3607040000.0,28.16,3.03,6.43,5.8
2013Q2,3822234000.0,28.61,3.25,5.84,4.9
2013Q1,3518510000.0,25.43,2.04,4.66,4.1
