年季,流動比率,速動比率,利息保障倍數
2020Q3,158.84,128.4,17.11
2020Q2,162.43,125.18,18.84
2020Q1,177.69,137.24,15.06
2019Q4,150.76,131.77,11.16
2019Q3,150.89,120.96,8.05
2019Q2,153.54,126.08,10.03
2019Q1,170.57,122.67,18.94
2018Q4,177.66,154.06,15.63
2018Q3,178.68,144.56,11.36
2018Q2,173.94,138.9,11.93
2018Q1,188.86,154.57,9.36
2017Q4,158.96,138.47,19.37
2017Q3,160.37,117.32,14.7
2017Q2,192.28,156.34,7.64
2017Q1,211.87,178.79,29.6
2016Q4,177.16,156.06,27.64
2016Q3,213.84,171.91,3.44
2016Q2,206.26,172.07,22.64
2016Q1,205.63,180.95,2.56
2015Q4,180.29,159.69,17.21
2015Q3,210.2,176.49,27.04
2015Q2,217.99,180.54,18.23
2015Q1,220.83,182.63,9.44
2014Q4,171.87,148.08,17.51
2014Q3,217.81,189.99,17.99
2014Q2,196.38,165.64,182.9
2014Q1,230.96,187.01,32.17
2013Q4,176.58,152.17,8.55
2013Q3,213.44,137.81,26.9
2013Q2,186.76,130.14,103.07
2013Q1,234.6,169.09,62.54
