年季,稅前淨利,營業現金流量,投資現金流量,籌資現金流量,淨現金流量,自由現金流量
2020Q3,538618000.0,47218000.0,424641000.0,-619666000.0,-147807000.0,-85417000.0
2020Q2,829716000.0,165034000.0,152019000.0,58531000.0,375584000.0,5950000.0
2020Q1,106940000.0,-292787000.0,244328000.0,-115135000.0,-163594000.0,-351444000.0
2019Q4,1040382000.0,1445373000.0,-71456000.0,-873639000.0,500278000.0,1321294000.0
2019Q3,327016000.0,160716000.0,96784000.0,-658493000.0,-400993000.0,35295000.0
2019Q2,411960000.0,-161921000.0,108309000.0,260336000.0,206724000.0,-345768000.0
2019Q1,424149000.0,-49134000.0,-38011000.0,-230147000.0,-317292000.0,-78443000.0
2018Q4,127185000.0,1484619000.0,-306649000.0,-673940000.0,504030000.0,1430359000.0
2018Q3,148193000.0,724833000.0,188441000.0,-812418000.0,100856000.0,675555000.0
2018Q2,585467000.0,68123000.0,32436000.0,-206163000.0,-105604000.0,-32156000.0
2018Q1,380382000.0,-1721620000.0,532649000.0,-220968000.0,-1409939000.0,-1788294000.0
2017Q4,327915000.0,534622000.0,349714000.0,-682555000.0,201781000.0,482799000.0
2017Q3,350561000.0,360508000.0,-395471000.0,-302197000.0,-337160000.0,287802000.0
2017Q2,265321000.0,-392297000.0,431269000.0,281816000.0,320788000.0,-431859000.0
2017Q1,356363000.0,-283190000.0,-143476000.0,-59938000.0,-486604000.0,-433970000.0
2016Q4,298715000.0,105309000.0,206233000.0,-570748000.0,-259206000.0,48643000.0
2016Q3,640507000.0,1152361000.0,1163074000.0,-377680000.0,1937755000.0,1060419000.0
2016Q2,194409000.0,408776000.0,-457410000.0,-83796000.0,-132430000.0,333557000.0
2016Q1,112229000.0,-172227000.0,-130105000.0,245502000.0,-56830000.0,-204640000.0
2015Q4,335149000.0,362354000.0,361216000.0,-384611000.0,338959000.0,603917000.0
2015Q3,-46315000.0,1256471000.0,-116133000.0,-1040825000.0,99513000.0,1164656000.0
2015Q2,235998000.0,-87502000.0,232995000.0,119833000.0,265326000.0,-228951000.0
2015Q1,180387000.0,-503106000.0,-201884000.0,454255000.0,-250735000.0,-530709000.0
2014Q4,369208000.0,211053000.0,365924000.0,-269583000.0,307394000.0,515070000.0
2014Q3,70530000.0,579821000.0,33757000.0,-441959000.0,171619000.0,520364000.0
2014Q2,257164000.0,367861000.0,125879000.0,-384558000.0,109182000.0,283858000.0
2014Q1,228651000.0,-615261000.0,35347000.0,272524000.0,-307390000.0,-639010000.0
2013Q4,320593000.0,111445000.0,77291000.0,-59757000.0,128979000.0,69741000.0
2013Q3,231897000.0,381763000.0,-80674000.0,-251689000.0,49400000.0,346497000.0
2013Q2,223203000.0,128222000.0,-28962000.0,-71912000.0,27348000.0,48139000.0
2013Q1,164037000.0,-491227000.0,74493000.0,134462000.0,-282272000.0,-517251000.0
