年度,股票股利,現金股利,現金股利殖利率
2019,0.0,2.01,5.26
2018,0.0,1.5,5.06
2017,0.0,1.3,5.79
2016,0.0,1.2,6.11
2015,0.407,1.41,7.88
2013,0.0,0.85,4.66
2012,0.0,0.8,5.78
2011,0.0,0.7,4.4
2010,0.0,0.7,2.87
2009,0.0,0.5,1.49
2008,0.0,0.502,5.9
2007,0.0,0.6,6.61
