年季,流動比率,速動比率,利息保障倍數
2020Q3,316.4,316.4,892.73
2020Q2,275.21,275.21,20.6
2020Q1,335.0,335.0,53.5
2019Q4,316.52,316.52,253.19
2019Q3,344.88,344.88,74.79
2019Q2,320.46,320.46,168.18
2019Q1,409.23,409.23,33.74
2018Q4,393.86,393.86,0.0
2018Q3,420.12,420.12,248.63
2018Q2,378.68,378.68,421.0
2018Q1,481.31,481.31,-243.53
2017Q4,434.47,434.47,971.45
2017Q3,372.18,372.18,0.0
2017Q2,382.56,382.56,0.0
2017Q1,502.47,502.47,0.0
2016Q4,418.28,418.28,0.0
2016Q3,461.95,461.95,0.0
2016Q2,380.8,380.8,0.0
2016Q1,477.68,477.68,0.0
2015Q4,425.63,425.63,0.0
2015Q3,475.91,475.91,0.0
2015Q2,395.45,395.45,0.0
2015Q1,498.99,498.99,0.0
2014Q4,453.19,453.19,0.0
2014Q3,458.11,458.11,0.0
2014Q2,397.62,397.62,0.0
2014Q1,518.94,518.94,0.0
2013Q4,458.79,458.79,0.0
2013Q3,484.59,484.59,0.0
2013Q2,392.29,392.29,0.0
2013Q1,546.84,546.84,0.0
