年季,股本,資本公積,保留盈餘
2020/09/30,1252722000.0,476039000.0,796284000.0
2020/06/30,1249632000.0,475630000.0,681606000.0
2020/03/31,1248462000.0,473245000.0,789209000.0
2019/12/31,1246352000.0,470136000.0,696340000.0
2019/09/30,1242672000.0,466269000.0,582970000.0
2019/06/30,1240092000.0,462503000.0,536916000.0
2019/03/31,1233092000.0,451417000.0,624523000.0
2018/12/31,1228965000.0,446515000.0,537661000.0
2018/09/30,1227390000.0,442455000.0,470099000.0
2018/06/30,1227081000.0,439768000.0,404562000.0
2018/03/31,1226804000.0,437440000.0,507435000.0
2017/12/31,1224804000.0,434135000.0,440534000.0
2017/09/30,1223866000.0,432436000.0,391929000.0
2017/06/30,1222596000.0,430470000.0,308394000.0
2017/03/31,1222420000.0,428936000.0,407906000.0
2016/12/31,1212655000.0,421421000.0,391853000.0
2016/09/30,1212655000.0,419967000.0,327471000.0
2016/06/30,1212655000.0,419670000.0,245650000.0
2016/03/31,1212655000.0,419211000.0,316851000.0
2015/12/31,1212655000.0,418751000.0,291504000.0
2015/09/30,1211933000.0,417806000.0,256964000.0
2015/06/30,1182143000.0,395063000.0,196688000.0
2015/03/31,947442000.0,251611000.0,257643000.0
2014/12/31,947442000.0,251611000.0,206439000.0
2014/09/30,947442000.0,249928000.0,164128000.0
2014/06/30,947442000.0,250238000.0,138646000.0
2014/03/31,947442000.0,217242000.0,186958000.0
2013/12/31,947442000.0,217242000.0,168936000.0
2013/09/30,947442000.0,217213000.0,130931000.0
2013/06/30,947442000.0,217362000.0,114585000.0
2013/03/31,947442000.0,226172000.0,159865000.0
