年季,應收帳款收現天數,存貨週轉天數,營運週轉天數,平均收現天數
2020Q3,14.04,0.0,14.04,0.0
2020Q2,14.1,0.0,14.1,0.0
2020Q1,12.09,0.0,12.09,0.0
2019Q4,12.01,0.0,12.01,10.69
2019Q3,12.69,0.0,12.69,0.0
2019Q2,12.69,0.0,12.69,0.0
2019Q1,12.89,0.0,12.89,0.0
2018Q4,11.48,0.0,11.48,9.92
2018Q3,11.59,0.0,11.59,0.0
2018Q2,11.89,0.0,11.89,0.0
2018Q1,11.06,0.0,11.06,0.0
2017Q4,9.21,0.0,9.21,9.72
2017Q3,9.49,0.0,9.49,0.0
2017Q2,9.9,0.0,9.9,0.0
2017Q1,10.64,0.0,10.64,0.0
2016Q4,11.36,0.0,11.36,10.21
2016Q3,11.65,0.0,11.65,0.0
2016Q2,11.69,0.0,11.69,0.0
2016Q1,10.3,0.0,10.3,0.0
2015Q4,-23.61,0.0,-23.61,33.12
2015Q3,33.07,0.0,33.07,0.0
2015Q2,29.42,0.0,29.42,0.0
2015Q1,31.23,0.0,31.23,0.0
2014Q4,32.91,0.0,32.91,32.07
2014Q3,32.37,0.0,32.37,0.0
2014Q2,30.27,0.0,30.27,0.0
2014Q1,33.03,0.0,33.03,0.0
2013Q4,33.76,0.0,33.76,32.97
2013Q3,31.84,0.0,31.84,0.0
2013Q2,30.29,0.0,30.29,0.0
2013Q1,31.87,0.0,31.87,0.0
