年季,營業收入,毛利率,營業利益率,稅前純益率,稅後純益率
2020Q3,725934000.0,36.46,8.17,8.22,6.48
2020Q2,693454000.0,37.51,7.58,9.54,7.66
2020Q1,549776000.0,36.25,0.17,1.4,0.95
2019Q4,1211656000.0,24.58,1.27,3.64,3.77
2019Q3,628974000.0,35.57,3.92,6.02,5.8
2019Q2,603862000.0,34.51,2.08,5.12,4.2
2019Q1,595194000.0,32.69,0.41,1.64,1.39
2018Q4,1061806000.0,30.99,6.07,6.58,6.45
2018Q3,557963000.0,37.78,2.68,3.08,2.44
2018Q2,866553000.0,23.21,1.41,2.56,1.83
2018Q1,867720000.0,22.68,0.67,1.27,2.03
2017Q4,1445287000.0,17.54,1.43,0.4,0.31
2017Q3,701295000.0,30.86,3.65,5.99,5.04
2017Q2,553498000.0,33.61,2.85,4.85,4.11
2017Q1,597352000.0,30.81,2.46,2.17,1.5
2016Q4,1177513000.0,20.52,1.93,0.89,0.87
2016Q3,451064000.0,38.56,1.61,4.58,4.14
2016Q2,523928000.0,30.54,-0.38,2.72,2.52
2016Q1,544436000.0,30.11,0.41,1.71,1.38
2015Q4,1018557000.0,23.71,2.76,1.44,1.7
2015Q3,418338000.0,38.55,1.7,6.1,5.44
2015Q2,369662000.0,39.04,-0.75,2.2,1.52
2015Q1,456491000.0,30.9,-2.01,-2.7,-2.81
2014Q4,734664000.0,26.7,-0.58,1.18,0.99
2014Q3,370729000.0,37.03,0.54,1.16,0.74
2014Q2,420259000.0,33.19,0.11,2.57,2.02
2014Q1,400946000.0,33.45,-0.58,1.41,0.86
2013Q4,602410000.0,32.07,1.92,1.5,1.14
2013Q3,539381000.0,9.9,-15.23,-5.12,-4.03
2013Q2,471765000.0,29.46,-0.79,0.41,0.11
2013Q1,615830000.0,22.7,-0.65,0.23,0.11
