年季,稅前淨利,營業現金流量,投資現金流量,籌資現金流量,淨現金流量,自由現金流量
2020Q3,166055000.0,105530000.0,119122000.0,-266123000.0,-41471000.0,55911000.0
2020Q2,83663000.0,84725000.0,-78200000.0,-453000.0,6072000.0,-10728000.0
2020Q1,69947000.0,201253000.0,-146263000.0,-1460000.0,53530000.0,196459000.0
2019Q4,96793000.0,49372000.0,-234913000.0,-334000.0,-185875000.0,6906000.0
2019Q3,87132000.0,98442000.0,76979000.0,-249620000.0,-74199000.0,79784000.0
2019Q2,106358000.0,124835000.0,-29726000.0,-1727000.0,93382000.0,58155000.0
2019Q1,73250000.0,76742000.0,-16141000.0,-8000.0,60593000.0,35786000.0
2018Q4,67259000.0,104309000.0,-86632000.0,2501000.0,20178000.0,-13739000.0
2018Q3,107533000.0,67153000.0,92920000.0,-225157000.0,-65084000.0,31292000.0
2018Q2,75320000.0,69692000.0,12341000.0,-726000.0,81307000.0,28280000.0
2018Q1,99354000.0,46902000.0,-72154000.0,935000.0,-24317000.0,27498000.0
2017Q4,53098000.0,90065000.0,-296797000.0,-60000.0,-206792000.0,86690000.0
2017Q3,89156000.0,72864000.0,-28883000.0,-182496000.0,-138515000.0,25031000.0
2017Q2,99113000.0,71492000.0,84289000.0,1450000.0,157231000.0,50256000.0
2017Q1,60350000.0,53937000.0,20248000.0,-241000.0,73944000.0,47901000.0
2016Q4,53282000.0,145004000.0,15482000.0,-1377000.0,159109000.0,128672000.0
2016Q3,66893000.0,9093000.0,142755000.0,-180600000.0,-28752000.0,-18999000.0
2016Q2,66296000.0,9564000.0,-15687000.0,-843000.0,-6966000.0,-40573000.0
2016Q1,57981000.0,22753000.0,58311000.0,647000.0,81711000.0,14321000.0
2015Q4,-1668000.0,172745000.0,-82424000.0,-465000.0,89856000.0,129560000.0
2015Q3,74069000.0,32570000.0,31133000.0,-162170000.0,-98467000.0,12732000.0
2015Q2,81398000.0,22783000.0,-10155000.0,-2915000.0,9713000.0,-24577000.0
2015Q1,67267000.0,-44873000.0,-221482000.0,-4557000.0,-270912000.0,-50139000.0
2014Q4,27319000.0,186546000.0,130627000.0,799000.0,317972000.0,172300000.0
2014Q3,63837000.0,25870000.0,143212000.0,-162092000.0,6990000.0,2609000.0
2014Q2,92708000.0,97991000.0,-130678000.0,-1398000.0,-34085000.0,76671000.0
2014Q1,47708000.0,234479000.0,-15318000.0,-2166000.0,216995000.0,223204000.0
2013Q4,29667000.0,65332000.0,-105000.0,-3639000.0,61588000.0,60055000.0
2013Q3,70265000.0,224154000.0,-219309000.0,-154024000.0,-149179000.0,195088000.0
2013Q2,94981000.0,16498000.0,-44808000.0,-761000.0,-29071000.0,-12833000.0
2013Q1,43626000.0,255056000.0,-23119000.0,-9094000.0,222843000.0,239345000.0
