年季,股本,資本公積,保留盈餘
2020/09/30,839653000.0,1041965000.0,2206002000.0
2020/06/30,849230000.0,1144508000.0,2153963000.0
2020/03/31,848790000.0,1141825000.0,2409928000.0
2019/12/31,845992000.0,1130694000.0,2333141000.0
2019/09/30,842041000.0,1110404000.0,2247771000.0
2019/06/30,837093000.0,869305000.0,2105641000.0
2019/03/31,835852000.0,861962000.0,2269508000.0
2018/12/31,849321000.0,940029000.0,2210725000.0
2018/09/30,848158000.0,929998000.0,2137570000.0
2018/06/30,847041000.0,922033000.0,2069459000.0
2018/03/31,845237000.0,911663000.0,2071600000.0
2017/12/31,871307000.0,1062577000.0,1994932000.0
2017/09/30,870302000.0,1062345000.0,1928770000.0
2017/06/30,923900000.0,1367689000.0,1863527000.0
2017/03/31,923590000.0,1360766000.0,1942642000.0
2016/12/31,968945000.0,1617914000.0,1906349000.0
2016/09/30,968860000.0,1603564000.0,1783507000.0
2016/06/30,968547000.0,1596969000.0,1751668000.0
2016/03/31,967950000.0,1588587000.0,2075855000.0
2015/12/31,967950000.0,1582662000.0,1985416000.0
2015/09/30,1011134000.0,1823163000.0,1810842000.0
2015/06/30,1005361000.0,1797462000.0,1645316000.0
2015/03/31,1002533000.0,1784343000.0,2221284000.0
2014/12/31,1002192000.0,1782414000.0,2113615000.0
2014/09/30,1001705000.0,1779077000.0,1899990000.0
2014/06/30,1001557000.0,1777314000.0,1716296000.0
2014/03/31,1001471000.0,1776100000.0,2285145000.0
2013/12/31,1001429000.0,1774378000.0,2112955000.0
2013/09/30,1000984000.0,1763402000.0,1922367000.0
2013/06/30,943507000.0,1816436000.0,1758759000.0
2013/03/31,943507000.0,1812873000.0,2264968000.0
