年季,應收帳款收現天數,存貨週轉天數,營運週轉天數,平均收現天數
2020Q3,69.17,37.55,106.72,0.0
2020Q2,64.82,40.26,105.08,0.0
2020Q1,63.51,48.05,111.56,0.0
2019Q4,68.02,42.83,110.86,80.39
2019Q3,67.33,34.69,102.02,0.0
2019Q2,77.17,43.64,120.81,0.0
2019Q1,75.49,41.76,117.24,0.0
2018Q4,90.61,41.55,132.16,97.33
2018Q3,81.24,27.33,108.57,0.0
2018Q2,78.04,28.47,106.51,0.0
2018Q1,79.79,29.0,108.79,0.0
2017Q4,92.54,30.04,122.58,101.1
2017Q3,73.56,21.61,95.17,0.0
2017Q2,75.51,28.81,104.32,0.0
2017Q1,86.7,31.47,118.16,0.0
2016Q4,83.99,27.17,111.17,95.05
2016Q3,75.3,25.89,101.19,0.0
2016Q2,75.15,28.95,104.1,0.0
2016Q1,85.0,30.61,115.62,0.0
2015Q4,75.22,28.7,103.92,102.52
2015Q3,75.76,36.77,112.52,0.0
2015Q2,76.07,36.76,112.84,0.0
2015Q1,93.25,39.85,133.1,0.0
2014Q4,66.7,34.3,101.0,104.58
2014Q3,72.39,48.5,120.88,0.0
2014Q2,74.13,45.22,119.35,0.0
2014Q1,81.96,38.75,120.71,0.0
2013Q4,71.02,32.51,103.53,97.33
2013Q3,80.25,36.12,116.37,0.0
2013Q2,67.66,32.18,99.84,0.0
2013Q1,71.52,40.8,112.32,0.0
