年季,流動比率,速動比率,利息保障倍數
2020Q3,189.66,115.97,420.18
2020Q2,173.22,112.71,277.73
2020Q1,168.07,110.01,267.96
2019Q4,192.34,125.86,206.33
2019Q3,202.88,127.56,273.35
2019Q2,184.85,119.85,395.25
2019Q1,216.89,132.18,955.12
2018Q4,188.88,114.04,523.58
2018Q3,200.17,127.93,957.22
2018Q2,193.35,138.62,415.83
2018Q1,218.06,168.59,4005.34
2017Q4,209.3,163.67,88565.0
2017Q3,212.08,175.51,0.0
2017Q2,218.55,185.08,0.0
2017Q1,240.94,205.48,1548.64
2016Q4,217.42,178.56,485.3
2016Q3,211.26,172.38,1020.71
2016Q2,224.77,183.66,0.0
2016Q1,267.92,237.13,0.0
2015Q4,254.4,224.76,15285.67
2015Q3,254.33,225.36,3549.5
2015Q2,224.22,194.11,2246.88
2015Q1,298.98,261.22,2320.47
2014Q4,249.24,213.55,2519.32
2014Q3,278.29,220.25,856.61
2014Q2,223.03,190.21,434.8
2014Q1,297.6,266.48,537.16
2013Q4,264.55,242.53,196.9
2013Q3,285.73,254.98,851.22
2013Q2,255.27,235.1,681.0
2013Q1,296.95,275.04,479.73
